season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Argentina Primera Division,2018-08-25,17:45,Matchday 3,Tigre,San Martín de San Juan,1-1,2-2
2018-19,Argentina Primera Division,2018-10-28,20:00,Matchday 10,Atlético Tucumán,Independiente,2-1,4-2
2018-19,Argentina Primera Division,2018-11-02,21:00,Matchday 11,Unión de Santa Fe,Patronato de Paraná,1-1,2-2
2018-19,Argentina Primera Division,2018-11-05,19:00,Matchday 11,Defensa y Justicia,Vélez Sarsfield,2-1,3-2
2018-19,Argentina Primera Division,2018-12-09,19:20,Matchday 15,Gimnasia de La Plata,Huracán,1-1,2-2
2018-19,Argentina Primera Division,2018-12-10,19:00,Matchday 15,Patronato de Paraná,Vélez Sarsfield,2-1,3-3
2018-19,Argentina Primera Division,2019-02-08,19:00,Matchday 18,Tigre,Banfield,3-3,4-4
2018-19,Argentina Primera Division,2019-02-10,17:10,Matchday 18,Godoy Cruz,San Martín de Tucumán,2-1,3-2
2018-19,Argentina Primera Division,2019-03-01,19:15,Matchday 21,San Lorenzo,Argentinos Juniors,1-1,2-3
2018-19,Argentina Primera Division,2019-03-02,21:30,Matchday 21,River Plate,Newell's Old Boys,3-1,4-2
2018-19,Argentina Primera Division,2019-03-11,21:10,Matchday 22,Defensa y Justicia,Banfield,2-1,3-2
2018-19,Argentina Primera Division,2019-03-16,17:45,Matchday 23,San Martín de San Juan,Argentinos Juniors,1-1,2-3
2018-19,Argentina Primera Division,2019-03-18,19:00,Matchday 23,Banfield,Godoy Cruz,1-1,2-2
2018-19,Argentina Primera Division,2019-04-06,13:15,Matchday 25,Gimnasia de La Plata,Colón de Santa Fe,2-1,3-2
2018-19,Argentina Primera Division,2019-04-07,15:15,Matchday 25,River Plate,Tigre,1-1,2-3
2019-20,Argentina Primera Division,2019-08-16,19:00,Matchday 3,Argentinos Juniors,Banfield,2-1,3-2
2019-20,Argentina Primera Division,2019-10-05,13:15,Matchday 9,Godoy Cruz,Gimnasia de La Plata,1-2,2-4
2019-20,Argentina Primera Division,2019-10-19,20:00,Matchday 10,Talleres de Córdoba,Lanús,1-2,2-4
2019-20,Argentina Primera Division,2019-10-31,17:00,Matchday 11,Arsenal de Sarandí,Central Córdoba SdE,1-1,2-2
2019-20,Argentina Primera Division,2019-11-02,17:45,Matchday 12,Rosario Central,Godoy Cruz,3-1,5-2
2019-20,Argentina Primera Division,2019-11-03,13:15,Matchday 12,Banfield,Unión de Santa Fe,1-1,3-3
2019-20,Argentina Primera Division,2019-11-24,21:45,Matchday 14,Talleres de Córdoba,Racing Club,2-2,3-3
2019-20,Argentina Primera Division,2019-12-07,19:40,Matchday 16,Atlético Tucumán,Newell's Old Boys,1-1,2-2
2019-20,Argentina Primera Division,2020-02-24,21:50,Matchday 21,Talleres de Córdoba,Huracán,2-1,4-2
2019-20,Argentina Primera Division,2020-03-08,17:35,Matchday 23,San Lorenzo,Lanús,1-1,4-3
2025,Argentina Primera Division,2025-01-29,17:00,"1° Semestre, Matchday 2",Talleres de Córdoba,Independiente,1-2,2-3
2025,Argentina Primera Division,2025-03-03,19:00,"1° Semestre, Matchday 8",San Lorenzo,Racing Club,1-1,3-2
2025,Argentina Primera Division,2025-03-29,21:00,"1° Semestre, Matchday 11",River Plate,Rosario Central,1-1,2-2
2025,Argentina Primera Division,2025-04-05,18:00,"1° Semestre, Matchday 12",Huracán,Aldosivi,1-1,3-3
