season,league,date,time,round,home,away,ht_score,ft_score
2010-11,Österr. Erste Liga,2010-07-16,18:30,Matchday 2,First Vienna FC,SV Grödig,2-1,3-2
2010-11,Österr. Erste Liga,2010-08-16,18:30,Matchday 7,FC Lustenau,SCR Altach,1-1,3-3
2010-11,Österr. Erste Liga,2010-08-27,20:30,Matchday 9,FC Trenkwalder Admira,SCR Altach,1-1,3-2
2010-11,Österr. Erste Liga,2010-09-10,20:30,Matchday 10,SCR Altach,FC Trenkwalder Admira,2-2,3-3
2010-11,Österr. Erste Liga,2010-09-14,18:30,Matchday 11,FC Trenkwalder Admira,SKN St. Pölten,2-1,3-2
2010-11,Österr. Erste Liga,2010-10-15,18:30,Matchday 14,FC Lustenau,TSV Hartberg,1-1,2-2
2010-11,Österr. Erste Liga,2010-11-19,18:30,Matchday 20,WAC/St. Andrä,Austria Lustenau,2-1,4-2
2010-11,Österr. Erste Liga,2010-11-19,18:30,Matchday 20,SV Grödig,First Vienna FC,1-1,3-2
2010-11,Österr. Erste Liga,2011-03-11,20:30,Matchday 24,SCR Altach,WAC/St. Andrä,1-1,3-3
2010-11,Österr. Erste Liga,2011-04-15,18:30,Matchday 29,SV Grödig,Austria Lustenau,1-1,2-2
2010-11,Österr. Erste Liga,2011-04-26,18:30,Matchday 30,FC Gratkorn,FC Lustenau,1-2,3-4
2010-11,Österr. Erste Liga,2011-05-06,18:30,Matchday 32,FC Trenkwalder Admira,FC Gratkorn,2-1,7-3
2010-11,Österr. Erste Liga,2011-05-17,18:30,Matchday 34,SV Grödig,SKN St. Pölten,1-1,2-2
2010-11,Österr. Erste Liga,2011-05-20,20:30,Matchday 35,FC Lustenau,SCR Altach,1-1,2-4
2011-12,Österr. Erste Liga,2011-07-19,18:30,Matchday 3,SV Grödig,SKN St. Pölten,1-1,2-2
2011-12,Österr. Erste Liga,2011-07-19,18:30,Matchday 3,FC Lustenau,WAC/St. Andrä,1-3,2-5
2011-12,Österr. Erste Liga,2011-07-29,18:30,Matchday 5,TSV Hartberg,Austria Lustenau,1-2,2-3
2011-12,Österr. Erste Liga,2011-08-22,18:30,Matchday 9,LASK Linz,WAC/St. Andrä,1-2,2-3
2011-12,Österr. Erste Liga,2011-09-09,20:30,Matchday 11,SV Grödig,WAC/St. Andrä,2-1,3-3
2011-12,Österr. Erste Liga,2011-09-23,18:30,Matchday 13,SV Grödig,TSV Hartberg,1-2,2-3
2011-12,Österr. Erste Liga,2011-09-30,18:30,Matchday 14,WAC/St. Andrä,SCR Altach,1-1,2-2
2011-12,Österr. Erste Liga,2012-03-02,18:30,Matchday 22,SKN St. Pölten,FC Lustenau,1-1,3-2
2011-12,Österr. Erste Liga,2012-03-02,20:30,Matchday 22,LASK Linz,SCR Altach,1-1,3-2
2011-12,Österr. Erste Liga,2012-05-04,20:30,Matchday 33,Austria Lustenau,WAC/St. Andrä,1-1,2-2
2012-13,Österr. Erste Liga,2012-07-20,18:30,Matchday 1,SKN St. Pölten,First Vienna FC,2-1,5-2
2012-13,Österr. Erste Liga,2012-07-20,20:30,Matchday 1,SV Horn,SCR Altach,1-3,3-4
2012-13,Österr. Erste Liga,2012-08-10,18:30,Matchday 5,First Vienna FC,FC Lustenau,1-2,2-4
2012-13,Österr. Erste Liga,2012-08-24,18:30,Matchday 7,FC Blau Weiß Linz,Austria Lustenau,1-3,2-4
2012-13,Österr. Erste Liga,2012-10-19,20:30,Matchday 13,SKN St. Pölten,SCR Altach,1-1,3-2
2012-13,Österr. Erste Liga,2012-11-30,18:30,Matchday 19,SKN St. Pölten,First Vienna FC,1-1,2-2
2012-13,Österr. Erste Liga,2013-04-19,20:30,Matchday 29,FC Blau Weiß Linz,First Vienna FC,1-1,2-3
2012-13,Österr. Erste Liga,2013-05-17,20:30,Matchday 34,SV Grödig,SKN St. Pölten,1-1,2-2
2013-14,Österr. Erste Liga,2013-08-02,18:30,Matchday 3,TSV Hartberg,SV Horn,1-1,2-2
2013-14,Österr. Erste Liga,2013-08-09,18:30,Matchday 5,TSV Hartberg,SC/ESV Parndorf,1-1,3-2
2013-14,Österr. Erste Liga,2013-08-23,18:30,Matchday 7,Austria Lustenau,FC Liefering,1-2,3-3
2013-14,Österr. Erste Liga,2013-08-30,18:30,Matchday 8,SV Mattersburg,TSV Hartberg,1-3,4-4
2013-14,Österr. Erste Liga,2013-09-27,18:30,Matchday 11,FC Liefering,SV Horn,1-1,4-2
2013-14,Österr. Erste Liga,2013-10-18,20:30,Matchday 13,SCR Altach,FC Liefering,2-1,4-2
2013-14,Österr. Erste Liga,2013-10-25,18:30,Matchday 15,Austria Lustenau,Kapfenberger SV 1919,1-3,2-4
2013-14,Österr. Erste Liga,2013-11-01,18:30,Matchday 16,SKN St. Pölten,SV Horn,2-1,5-2
2013-14,Österr. Erste Liga,2014-03-14,18:30,Matchday 23,SV Mattersburg,TSV Hartberg,1-1,2-2
2013-14,Österr. Erste Liga,2014-03-21,18:30,Matchday 24,SKN St. Pölten,SV Mattersburg,1-1,2-2
2013-14,Österr. Erste Liga,2014-04-22,18:30,Matchday 30,SKN St. Pölten,SC/ESV Parndorf,3-1,5-4
2013-14,Österr. Erste Liga,2014-04-25,20:30,Matchday 31,Kapfenberger SV 1919,Austria Lustenau,1-1,2-3
2014-15,Österr. Erste Liga,2014-08-15,18:30,Matchday 6,FC Liefering,Kapfenberger SV 1919,1-1,3-2
2014-15,Österr. Erste Liga,2014-08-29,18:30,Matchday 8,Floridsdorfer AC,TSV Hartberg,2-1,3-2
2014-15,Österr. Erste Liga,2014-09-15,18:30,Matchday 10,Floridsdorfer AC,Austria Lustenau,1-1,3-3
2014-15,Österr. Erste Liga,2014-09-26,18:30,Matchday 12,Austria Lustenau,FC Liefering,1-1,5-2
2014-15,Österr. Erste Liga,2014-10-21,18:30,Matchday 15,Austria Lustenau,SV Mattersburg,1-1,3-3
2014-15,Österr. Erste Liga,2014-10-24,18:30,Matchday 16,Floridsdorfer AC,SV Mattersburg,1-1,2-2
2014-15,Österr. Erste Liga,2014-11-28,18:30,Matchday 20,SKN St. Pölten,Kapfenberger SV 1919,1-1,2-2
2014-15,Österr. Erste Liga,2014-11-28,20:30,Matchday 20,TSV Hartberg,LASK Linz,1-1,2-2
2014-15,Österr. Erste Liga,2015-02-27,18:30,Matchday 21,Austria Lustenau,FC Liefering,1-2,2-4
2014-15,Österr. Erste Liga,2015-02-27,18:30,Matchday 21,Floridsdorfer AC,SV Horn,1-1,2-5
2014-15,Österr. Erste Liga,2015-03-06,18:30,Matchday 22,LASK Linz,Austria Lustenau,2-1,3-2
2014-15,Österr. Erste Liga,2015-04-17,18:30,Matchday 28,SKN St. Pölten,SV Horn,1-1,2-2
2014-15,Österr. Erste Liga,2015-05-29,19:30,Matchday 36,SKN St. Pölten,TSV Hartberg,2-1,5-3
2015-16,Österr. Erste Liga,2015-08-07,20:30,Matchday 4,FC Liefering,Austria Salzburg,3-1,5-3
2015-16,Österr. Erste Liga,2015-08-28,20:30,Matchday 7,Austria Salzburg,FC Wacker Innsbruck,1-1,3-4
2015-16,Österr. Erste Liga,2015-09-11,18:30,Matchday 8,FC Wacker Innsbruck,SK Austria Klagenfurt,1-1,4-2
2015-16,Österr. Erste Liga,2015-10-16,20:30,Matchday 13,SK Austria Klagenfurt,LASK Linz,1-1,2-2
2015-16,Österr. Erste Liga,2016-02-26,18:30,Matchday 20,Kapfenberger SV 1919,Austria Lustenau,1-2,2-4
2015-16,Österr. Erste Liga,2016-03-04,18:30,Matchday 21,Austria Lustenau,SKN St. Pölten,1-1,4-2
2015-16,Österr. Erste Liga,2016-03-04,18:30,Matchday 21,Austria Salzburg,1. Wiener Neustädter SC,1-1,2-2
2015-16,Österr. Erste Liga,2016-04-08,20:30,Matchday 26,SKN St. Pölten,1. Wiener Neustädter SC,1-1,3-2
2015-16,Österr. Erste Liga,2016-04-15,18:30,Matchday 28,Floridsdorfer AC,LASK Linz,1-1,2-2
2015-16,Österr. Erste Liga,2016-04-22,18:30,Matchday 29,Austria Lustenau,Kapfenberger SV 1919,1-1,2-2
2015-16,Österr. Erste Liga,2016-05-13,20:30,Matchday 34,SKN St. Pölten,LASK Linz,2-1,3-2
2015-16,Österr. Erste Liga,2016-05-20,18:30,Matchday 35,SK Austria Klagenfurt,FC Wacker Innsbruck,2-1,5-2
2016-17,Österr. Erste Liga,2016-08-05,18:30,Matchday 3,FC Liefering,LASK Linz,1-1,4-2
2016-17,Österr. Erste Liga,2016-09-13,18:30,Matchday 9,FC Wacker Innsbruck,1. Wiener Neustädter SC,2-1,3-2
2016-17,Österr. Erste Liga,2016-09-30,18:30,Matchday 12,1. Wiener Neustädter SC,FC Blau Weiß Linz,1-1,3-2
2016-17,Österr. Erste Liga,2016-09-30,18:30,Matchday 12,LASK Linz,FC Liefering,1-2,3-3
