season,league,date,time,round,home,away,ht_score,ft_score
2018-19,ÖFB Cup,2018-07-20,18:00,Round 1,SVG Reichenau,Kapfenberger SV 1919,1-3,3-5
2018-19,ÖFB Cup,2018-07-21,17:00,Round 1,VfB Hohenems,Floridsdorfer AC,1-4,2-5
2018-19,ÖFB Cup,2018-09-25,19:00,Round 2,Deutschlandsberger SC,1. Wiener Neustädter SC,1-2,3-3
2018-19,ÖFB Cup,2018-10-30,18:00,Round of 16,TSV Hartberg,FC Wacker Innsbruck,2-1,4-3
2019-20,ÖFB Cup,2019-07-19,19:00,Round 1,TuS Bad Gleichenberg,Vorwärts Steyr,1-1,2-3
2019-20,ÖFB Cup,2019-07-20,19:00,Round 1,Union Vöcklamarkt,LASK,1-1,2-6
2019-20,ÖFB Cup,2019-09-25,18:30,Round 2,SK Austria Klagenfurt,Sturm Graz,1-1,2-2
2019-20,ÖFB Cup,2019-09-25,18:30,Round 2,WSG Tirol,Austria Wien,2-1,5-2
2020-21,ÖFB Cup,2020-10-17,15:00,Round 2,ASKÖ Gmünd,TSV Hartberg,2-1,3-3
2020-21,ÖFB Cup,2020-12-16,20:30,Round of 16,RB Salzburg,Rapid Wien,3-1,6-2
