season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Australia | A-League,2018-11-25,19:00,Matchday 5,Perth Glory,Central Coast Mariners,1-1,3-2
2018-19,Australia | A-League,2019-01-08,19:50,Matchday 12,Western Sydney Wanderers,Wellington Phoenix,1-1,2-3
2018-19,Australia | A-League,2019-01-22,19:50,Matchday 15,Melbourne City FC,Western Sydney Wanderers,2-1,4-3
2018-19,Australia | A-League,2019-02-22,19:50,Matchday 20,Central Coast Mariners,Brisbane Roar,2-3,3-5
2018-19,Australia | A-League,2019-04-21,17:00,Matchday 26,Wellington Phoenix,Melbourne City FC,1-1,3-2
2018-19,Australia | A-League,2019-04-25,14:00,Matchday 27,Brisbane Roar,Adelaide United,2-1,3-5
2024-25,Australia | A-League,2024-11-02,19:35,Matchday 3,Western Sydney Wanderers,Adelaide United,1-3,3-4
2024-25,Australia | A-League,2024-11-23,19:35,Matchday 5,Sydney FC,Western Sydney Wanderers,1-1,4-2
2024-25,Australia | A-League,2024-11-30,19:35,Matchday 6,Macarthur FC,Brisbane Roar,1-2,4-4
2024-25,Australia | A-League,2024-12-14,17:00,Matchday 8,Sydney FC,Western United,2-1,3-4
2024-25,Australia | A-League,2024-12-20,19:35,Matchday 9,Adelaide United,Sydney FC,2-1,3-3
2024-25,Australia | A-League,2025-01-03,21:45,Matchday 12,Perth Glory,Western United,1-1,2-3
2024-25,Australia | A-League,2025-01-04,19:35,Matchday 12,Melbourne Victory,Western Sydney Wanderers,1-1,2-2
2024-25,Australia | A-League,2025-01-10,19:35,Matchday 13,Melbourne Victory,Western United,2-1,3-4
2024-25,Australia | A-League,2025-01-18,17:00,Matchday 15,Sydney FC,Brisbane Roar,1-3,3-4
2024-25,Australia | A-League,2025-01-18,19:35,Matchday 15,Adelaide United,Melbourne Victory,2-1,3-2
2024-25,Australia | A-League,2025-01-25,17:00,Matchday 16,Newcastle United Jets,Perth Glory,1-1,2-2
2024-25,Australia | A-League,2025-02-08,19:35,Matchday 18,Sydney FC,Western Sydney Wanderers,1-2,3-3
2024-25,Australia | A-League,2025-02-22,19:35,Matchday 20,Melbourne Victory,Melbourne City FC,1-1,2-2
2024-25,Australia | A-League,2025-03-01,15:00,Matchday 21,Auckland FC,Adelaide United,2-1,4-4
2024-25,Australia | A-League,2025-03-14,19:35,Matchday 23,Adelaide United,Macarthur FC,3-2,4-5
2024-25,Australia | A-League,2025-03-29,15:00,Matchday 24,Wellington Phoenix,Western Sydney Wanderers,1-1,2-2
2024-25,Australia | A-League,2025-03-29,19:35,Matchday 24,Melbourne Victory,Adelaide United,2-1,5-3
2024-25,Australia | A-League,2025-04-12,15:00,Matchday 26,Wellington Phoenix,Melbourne Victory,1-2,2-3
