season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Belgium First Division A,2018-07-27,20:30,Matchday 1,Standard Liège,KAA Gent,1-1,3-2
2018-19,Belgium First Division A,2018-08-04,20:00,Matchday 2,Cercle Brugge,Sporting Lokeren,2-1,3-2
2018-19,Belgium First Division A,2018-08-18,20:00,Matchday 4,Waasland-Beveren,Sint-Truidense VV,1-1,2-2
2018-19,Belgium First Division A,2018-08-19,20:00,Matchday 4,KAS Eupen,KAA Gent,1-2,2-3
2018-19,Belgium First Division A,2018-08-25,18:00,Matchday 5,Standard Liège,Sint-Truidense VV,1-1,3-2
2018-19,Belgium First Division A,2018-09-23,20:00,Matchday 8,Cercle Brugge,KRC Genk,1-2,2-5
2018-19,Belgium First Division A,2018-11-25,18:00,Matchday 16,Sint-Truidense VV,RSC Anderlecht,1-1,4-2
2018-19,Belgium First Division A,2018-11-25,20:00,Matchday 16,Sporting Lokeren,Sporting Charleroi,1-1,2-4
2018-19,Belgium First Division A,2019-01-18,20:30,Matchday 22,Sint-Truidense VV,KRC Genk,1-1,2-3
2018-19,Belgium First Division A,2019-02-02,20:00,Matchday 24,SV Zulte Waregem,Cercle Brugge,2-1,3-2
2018-19,Belgium First Division A,2019-02-23,18:00,Matchday 27,KAS Eupen,SV Zulte Waregem,1-1,2-3
2018-19,Belgium First Division A,2019-02-24,14:30,Matchday 27,RSC Anderlecht,Club Brugge KV,1-1,2-2
2018-19,Belgium First Division A,2019-03-17,18:00,Matchday 30,SV Zulte Waregem,KRC Genk,1-2,3-3
2018-19,Belgium First Division A,2019-05-10,20:30,"Playoff I, Matchday 8",Standard Liège,KAA Gent,1-1,2-3
2019-20,Belgium First Division A,2019-09-22,20:00,Matchday 8,SV Zulte Waregem,KAA Gent,1-1,2-2
2019-20,Belgium First Division A,2019-10-29,20:30,Matchday 13,Cercle Brugge,Royal Excel Mouscron,1-1,2-2
2019-20,Belgium First Division A,2019-10-31,20:30,Matchday 13,RSC Anderlecht,KAA Gent,1-1,3-3
2019-20,Belgium First Division A,2019-11-21,20:30,Matchday 5,Royal Antwerp FC,KAA Gent,2-1,3-2
2019-20,Belgium First Division A,2019-11-23,20:30,Matchday 16,Royal Excel Mouscron,KRC Genk,1-1,2-2
2019-20,Belgium First Division A,2019-12-08,14:30,Matchday 18,Royal Excel Mouscron,Standard Liège,1-1,2-2
2019-20,Belgium First Division A,2020-02-08,20:00,Matchday 25,Cercle Brugge,KV Mechelen,2-1,3-2
2020-21,Belgium First Division A,2020-09-14,20:45,Matchday 5,K Beerschot VA,KRC Genk,1-1,5-2
2020-21,Belgium First Division A,2020-09-28,20:45,Matchday 7,KRC Genk,KV Oostende,1-1,2-2
2020-21,Belgium First Division A,2020-10-17,16:15,Matchday 9,Cercle Brugge,KAA Gent,2-1,5-2
2020-21,Belgium First Division A,2020-10-17,18:30,Matchday 9,K Beerschot VA,Sint-Truidense VV,5-1,6-3
2020-21,Belgium First Division A,2020-10-25,13:30,Matchday 10,Royal Antwerp FC,K Beerschot VA,2-1,3-2
2020-21,Belgium First Division A,2020-10-31,16:15,Matchday 11,K Beerschot VA,Oud-Heverlee Leuven,2-1,4-2
2020-21,Belgium First Division A,2020-11-06,20:45,Matchday 12,KV Mechelen,Sporting Charleroi,2-1,3-3
2020-21,Belgium First Division A,2020-11-07,16:15,Matchday 12,KV Kortrijk,K Beerschot VA,2-1,5-5
2020-21,Belgium First Division A,2020-11-21,16:15,Matchday 13,Standard Liège,KAS Eupen,1-1,2-2
2020-21,Belgium First Division A,2020-11-23,20:45,Matchday 13,Oud-Heverlee Leuven,Sint-Truidense VV,1-1,2-2
2020-21,Belgium First Division A,2020-12-04,20:45,Matchday 15,SV Zulte Waregem,RSC Anderlecht,1-1,2-2
2020-21,Belgium First Division A,2020-12-06,13:30,Matchday 15,KRC Genk,Royal Antwerp FC,2-1,4-2
2020-21,Belgium First Division A,2021-01-09,20:45,Matchday 30,KV Oostende,Sporting Charleroi,1-1,3-2
2020-21,Belgium First Division A,2021-01-24,18:15,Matchday 21,Standard Liège,Sporting Charleroi,2-1,3-2
2020-21,Belgium First Division A,2021-01-29,20:45,Matchday 23,Royal Antwerp FC,Waasland-Beveren,1-1,3-2
2020-21,Belgium First Division A,2021-02-21,16:00,Matchday 27,SV Zulte Waregem,Standard Liège,1-1,3-2
2020-21,Belgium First Division A,2021-03-06,16:15,Matchday 29,KAS Eupen,Oud-Heverlee Leuven,2-2,3-3
2020-21,Belgium First Division A,2021-03-21,16:00,Matchday 31,KV Mechelen,Oud-Heverlee Leuven,1-1,2-2
2020-21,Belgium First Division A,2021-04-06,19:00,Matchday 31,Waasland-Beveren,Sint-Truidense VV,1-1,2-4
2020-21,Belgium First Division A,2021-04-11,16:00,Matchday 33,Waasland-Beveren,KV Kortrijk,2-1,3-4
2020-21,Belgium First Division A,2021-05-09,16:00,"Europe, Matchday 2",KV Mechelen,KV Oostende,2-2,5-3
2020-21,Belgium First Division A,2021-05-20,21:00,"Championship, Matchday 5",RSC Anderlecht,Club Brugge KV,1-1,3-3
2024-25,Belgium First Division A,2024-08-10,18:15,Matchday 3,KVC Westerlo,Union Saint-Gilloise,3-1,4-3
2024-25,Belgium First Division A,2024-08-17,16:00,Matchday 4,K Beerschot VA,KRC Genk,1-3,3-4
2024-25,Belgium First Division A,2024-08-17,18:15,Matchday 4,Sint-Truidense VV,FCV Dender EH,2-1,3-3
2024-25,Belgium First Division A,2024-09-14,20:45,Matchday 7,RSC Anderlecht,KVC Westerlo,1-1,2-2
2024-25,Belgium First Division A,2024-12-01,19:15,Matchday 16,KVC Westerlo,KAA Gent,1-1,2-2
2024-25,Belgium First Division A,2024-12-07,16:00,Matchday 17,KRC Genk,KV Kortrijk,1-1,3-2
2024-25,Belgium First Division A,2024-12-26,16:00,Matchday 20,Club Brugge KV,KVC Westerlo,2-1,4-3
2024-25,Belgium First Division A,2025-02-07,20:45,Matchday 25,KV Mechelen,KAA Gent,1-1,3-3
2024-25,Belgium First Division A,2025-02-09,18:30,Matchday 25,KVC Westerlo,Standard Liège,2-1,4-2
2024-25,Belgium First Division A,2025-02-16,13:30,Matchday 26,KAA Gent,K Beerschot VA,1-1,3-2
2024-25,Belgium First Division A,2025-03-01,18:15,Matchday 28,Sint-Truidense VV,KV Kortrijk,2-1,4-2
2024-25,Belgium First Division A,2025-03-16,18:30,Matchday 30,Club Brugge KV,Sporting Charleroi,1-1,4-2
2024-25,Belgium First Division A,2025-03-16,18:30,Matchday 30,Oud-Heverlee Leuven,Sint-Truidense VV,1-1,3-2
2024-25,Belgium First Division A,2025-04-11,20:45,"Europe, Matchday 3",KVC Westerlo,Sporting Charleroi,1-1,2-2
2024-25,Belgium First Division A,2025-04-19,16:00,"Europe, Matchday 4",Oud-Heverlee Leuven,FCV Dender EH,3-1,4-4
2024-25,Belgium First Division A,2025-04-22,20:30,"Europe, Matchday 5",KV Mechelen,KVC Westerlo,1-1,2-3
2024-25,Belgium First Division A,2025-05-02,20:45,"Europe, Matchday 7",KVC Westerlo,FCV Dender EH,1-1,4-2
2024-25,Belgium First Division A,2025-05-09,20:45,"Europe, Matchday 8",Sporting Charleroi,KVC Westerlo,1-2,4-3
2025-26,Belgium First Division A,2025-09-24,19:30,5. Round,Club Brugge KV,KVC Westerlo,1-2,5-5
2025-26,Belgium First Division A,2025-10-19,12:30,11. Round,Cercle Brugge,KRC Genk,1-1,2-2
