season,league,date,time,round,home,away,ht_score,ft_score
2019,Brasileiro Série A,2019-04-28,16:00,Matchday 1,Bahia BA,Corinthians SP,1-1,3-2
2019,Brasileiro Série A,2019-05-05,19:00,Matchday 3,Grêmio Porto Alegre,Fluminense RJ,3-2,4-5
2019,Brasileiro Série A,2019-05-26,19:00,Matchday 6,Bahia BA,Fluminense RJ,2-1,3-2
2019,Brasileiro Série A,2019-07-28,16:00,Matchday 12,Flamengo RJ,Botafogo RJ,1-1,3-2
2019,Brasileiro Série A,2019-08-05,20:00,Matchday 13,Grêmio Porto Alegre,Chapecoense,2-2,3-3
2019,Brasileiro Série A,2019-10-16,21:30,Matchday 26,Goiás GO,Corinthians SP,1-1,2-2
2019,Brasileiro Série A,2019-11-06,19:30,Matchday 31,Corinthians SP,Fortaleza CE,1-1,3-2
2019,Brasileiro Série A,2019-11-13,21:30,Matchday 34,Flamengo RJ,Vasco da Gama RJ,2-2,4-4
2019,Brasileiro Série A,2019-11-24,19:00,Matchday 34,Internacional,Fortaleza CE,1-1,2-2
2020,Brasileiro Série A,2020-09-02,20:30,Matchday 7,Bahia BA,Flamengo RJ,2-3,3-5
2020,Brasileiro Série A,2020-09-02,21:30,Matchday 7,Santos FC,Vasco da Gama RJ,1-1,2-2
2020,Brasileiro Série A,2020-09-05,19:00,Matchday 8,Corinthians SP,Botafogo RJ,1-1,2-2
2020,Brasileiro Série A,2020-09-06,16:00,Matchday 8,Internacional,Bahia BA,1-1,2-2
2020,Brasileiro Série A,2020-09-09,18:00,Matchday 9,Goiás GO,Coritiba PR,1-2,3-3
2020,Brasileiro Série A,2020-09-16,21:30,Matchday 11,Corinthians SP,Bahia BA,2-1,3-2
2020,Brasileiro Série A,2020-09-19,19:00,Matchday 11,Red Bull Bragantino,Ceará CE,3-1,4-2
2020,Brasileiro Série A,2020-10-04,18:15,Matchday 13,Goiás GO,Santos FC,1-1,2-3
2020,Brasileiro Série A,2020-10-07,20:30,Matchday 14,Goiás GO,Fluminense RJ,1-1,2-4
2020,Brasileiro Série A,2020-10-14,21:30,Matchday 16,Sport Recife PE,Internacional,1-2,3-5
2020,Brasileiro Série A,2020-10-17,19:00,Matchday 17,Fluminense RJ,Ceará CE,1-1,2-2
2020,Brasileiro Série A,2020-11-14,19:00,Matchday 21,Fortaleza CE,São Paulo FC,1-1,2-3
2020,Brasileiro Série A,2020-11-14,19:00,Matchday 21,Grêmio Porto Alegre,Ceará CE,3-1,4-2
2020,Brasileiro Série A,2020-12-06,18:15,Matchday 24,Atlético Mineiro,Internacional,1-1,2-2
2020,Brasileiro Série A,2021-01-17,20:30,Matchday 30,Internacional,Fortaleza CE,2-1,4-2
2020,Brasileiro Série A,2021-02-03,16:00,Matchday 34,Grêmio Porto Alegre,Santos FC,1-1,3-3
2020,Brasileiro Série A,2021-02-06,19:00,Matchday 35,Bahia BA,Goiás GO,2-1,3-3
2020,Brasileiro Série A,2021-02-10,21:30,Matchday 35,Corinthians SP,Athletico Paranaense,2-2,3-3
2020,Brasileiro Série A,2021-02-21,16:00,Matchday 37,Sport Recife PE,Atlético Mineiro,1-1,2-3
2025,Brasileiro Série A,2025-07-16,21:30,Matchday 14,RB Bragantino,São Paulo FC,1-1,2-2
2025,Brasileiro Série A,2025-07-20,17:30,Matchday 15,SE Palmeiras,CA Mineiro,1-1,3-2
2025,Brasileiro Série A,2025-08-09,21:00,Matchday 19,EC Bahia,Fluminense FC,2-1,3-3
2025,Brasileiro Série A,2025-08-23,16:00,Matchday 21,RB Bragantino,Fluminense FC,2-1,4-2
2025,Brasileiro Série A,2025-08-31,20:30,Matchday 22,SC Recife,CR Vasco da Gama,1-2,2-3
2025,Brasileiro Série A,2025-09-14,20:30,Matchday 23,CR Vasco da Gama,Ceará SC,1-1,2-2
2025,Brasileiro Série A,2025-10-05,16:00,Matchday 27,CR Vasco da Gama,EC Vitória,1-2,4-3
2025,Brasileiro Série A,2025-11-05,21:30,Matchday 32,São Paulo FC,CR Flamengo,1-1,2-2
2025,Brasileiro Série A,2025-11-20,16:00,Matchday 34,EC Juventude,Cruzeiro EC,2-1,3-3
2025,Brasileiro Série A,2025-11-25,21:30,Matchday 36,Grêmio FBPA,SE Palmeiras,1-1,3-2
2025,Brasileiro Série A,2025-12-06,18:30,Matchday 38,Mirassol FC,CR Flamengo,2-2,3-3
2025,Brasileiro Série A,2025-12-07,16:00,Matchday 38,Botafogo FR,Fortaleza EC,1-1,4-2
2026,Brasileiro Série A,2026-01-28,19:00,Matchday 1,CA Mineiro,SE Palmeiras,1-1,2-2
2026,Brasileiro Série A,2026-01-28,20:00,Matchday 1,Chapecoense AF,Santos FC,1-1,4-2
2026,Brasileiro Série A,2026-02-04,21:30,Matchday 2,Grêmio FBPA,Botafogo FR,1-2,5-3
2026,Brasileiro Série A,2026-02-11,19:00,Matchday 3,Chapecoense AF,Coritiba FBC,1-1,3-3
2026,Brasileiro Série A,2026-02-11,19:00,Matchday 3,Mirassol FC,Cruzeiro EC,1-1,2-2
2026,Brasileiro Série A,2026-02-11,20:00,Matchday 3,CA Mineiro,Clube do Remo,1-1,3-3
2026,Brasileiro Série A,2026-03-15,16:00,Matchday 6,Fluminense FC,CA Paranaense,2-1,3-2
