season,league,date,time,round,home,away,ht_score,ft_score
2014-15,Swiss Super League,2014-07-19,20:00,Matchday 1,FC St. Gallen,BSC Young Boys,1-1,2-2
2014-15,Swiss Super League,2014-09-14,13:45,Matchday 8,BSC Young Boys,FC Luzern,2-1,3-2
2014-15,Swiss Super League,2014-09-14,13:45,Matchday 8,FC Vaduz,FC St. Gallen,1-1,2-2
2014-15,Swiss Super League,2014-09-23,19:45,Matchday 9,FC Thun,FC Luzern,1-1,3-2
2014-15,Swiss Super League,2014-11-29,20:00,Matchday 17,FC Sion,Grasshopper Club Zürich,1-1,3-3
2014-15,Swiss Super League,2015-04-30,19:45,Matchday 30,FC Luzern,FC St. Gallen,3-1,6-2
2014-15,Swiss Super League,2015-05-17,13:45,Matchday 33,FC Thun,FC Zürich,1-1,2-2
2014-15,Swiss Super League,2015-05-25,16:00,Matchday 35,FC Sion,BSC Young Boys,3-1,6-2
2014-15,Swiss Super League,2015-05-29,20:30,Matchday 36,FC Basel 1893,FC St. Gallen,1-2,4-3
2018-19,Swiss Super League,2018-08-04,19:00,Matchday 3,FC Luzern,FC Lugano,2-1,4-2
2018-19,Swiss Super League,2018-08-12,16:00,Matchday 4,FC Basel 1893,FC Sion,2-1,3-2
2018-19,Swiss Super League,2018-08-25,19:00,Matchday 5,BSC Young Boys,Neuchâtel Xamax FCS,2-1,5-2
2018-19,Swiss Super League,2018-11-04,16:00,Matchday 13,FC Luzern,FC Zürich,1-2,2-5
2018-19,Swiss Super League,2018-12-08,19:00,Matchday 17,FC St. Gallen,Neuchâtel Xamax FCS,2-1,3-2
2018-19,Swiss Super League,2018-12-09,16:00,Matchday 17,FC Lugano,FC Sion,1-1,2-2
2018-19,Swiss Super League,2019-02-10,16:00,Matchday 20,FC Sion,FC Lugano,1-1,2-2
2018-19,Swiss Super League,2019-02-23,19:00,Matchday 22,FC Sion,FC St. Gallen,1-1,2-2
2018-19,Swiss Super League,2019-03-31,16:00,Matchday 26,BSC Young Boys,FC St. Gallen,1-1,3-2
2018-19,Swiss Super League,2019-04-07,16:00,Matchday 28,FC Sion,FC Luzern,1-1,2-2
2018-19,Swiss Super League,2019-05-25,19:00,Matchday 36,FC Lugano,Grasshopper Club Zürich,1-1,3-3
2019-20,Swiss Super League,2019-08-03,19:00,Matchday 3,FC Thun,FC Basel 1893,1-1,2-3
2019-20,Swiss Super League,2019-08-10,19:00,Matchday 4,FC St. Gallen,BSC Young Boys,1-2,2-3
2019-20,Swiss Super League,2019-09-28,19:00,Matchday 9,BSC Young Boys,FC Sion,2-1,3-2
2019-20,Swiss Super League,2019-10-27,16:00,Matchday 12,BSC Young Boys,FC Thun,2-1,4-2
2019-20,Swiss Super League,2019-10-27,16:00,Matchday 12,FC Zürich,FC Basel 1893,2-1,3-2
2019-20,Swiss Super League,2019-11-10,16:00,Matchday 14,BSC Young Boys,FC St. Gallen,2-2,4-3
2019-20,Swiss Super League,2019-11-24,16:00,Matchday 15,FC Sion,BSC Young Boys,2-3,3-4
2019-20,Swiss Super League,2020-02-09,16:00,Matchday 21,FC Thun,FC Lugano,2-1,3-2
2019-20,Swiss Super League,2020-02-23,16:00,Matchday 23,FC St. Gallen,BSC Young Boys,1-2,3-3
2019-20,Swiss Super League,2020-07-09,20:30,Matchday 29,FC Lugano,FC St. Gallen,1-2,3-3
2019-20,Swiss Super League,2020-07-15,20:30,Matchday 31,BSC Young Boys,Servette FC,1-1,4-2
2019-20,Swiss Super League,2020-07-19,16:00,Matchday 32,Servette FC,FC Basel 1893,1-1,2-2
2019-20,Swiss Super League,2020-07-26,16:00,Matchday 34,FC Basel 1893,FC Lugano,2-3,4-4
2020-21,Swiss Super League,2020-09-26,19:00,Matchday 2,FC Zürich,FC Lugano,1-1,2-2
2020-21,Swiss Super League,2020-09-27,16:00,Matchday 2,FC Luzern,FC Lausanne-Sport,1-1,2-2
2020-21,Swiss Super League,2020-10-04,16:00,Matchday 3,FC Basel 1893,FC Luzern,2-1,3-2
2020-21,Swiss Super League,2020-12-09,18:15,Matchday 7,FC Basel 1893,FC Sion,3-1,4-2
2020-21,Swiss Super League,2021-02-03,20:30,Matchday 18,FC Sion,FC St. Gallen,1-1,3-2
2020-21,Swiss Super League,2021-02-07,16:00,Matchday 19,Servette FC,FC Luzern,2-1,4-2
2020-21,Swiss Super League,2021-02-10,18:15,Matchday 15,Servette FC,FC St. Gallen,1-1,2-2
2020-21,Swiss Super League,2021-02-21,16:00,Matchday 21,FC Lugano,FC Luzern,1-1,2-3
2020-21,Swiss Super League,2021-03-20,18:15,Matchday 26,FC Lausanne-Sport,FC St. Gallen,3-1,4-3
2020-21,Swiss Super League,2021-04-10,20:30,Matchday 28,FC Luzern,FC Basel 1893,1-3,3-4
2020-21,Swiss Super League,2021-04-17,18:15,Matchday 29,FC Sion,FC Zürich,1-1,2-2
2020-21,Swiss Super League,2021-04-22,18:15,Matchday 30,Servette FC,FC Sion,1-1,3-5
2020-21,Swiss Super League,2021-04-24,20:30,Matchday 31,FC Lausanne-Sport,FC Basel 1893,2-1,3-3
