season,league,date,time,round,home,away,ht_score,ft_score
2019,China | Super League,2019-03-09,15:30,Matchday 2,Shandong Taishan,Henan Jianye,1-1,2-2
2019,China | Super League,2019-03-09,19:35,Matchday 2,Guangzhou R&F,Dalian Yifang FC,1-1,3-3
2019,China | Super League,2019-03-29,19:35,Matchday 3,Tianjin Teda,Guangzhou R&F,2-1,4-3
2019,China | Super League,2019-03-31,15:30,Matchday 3,Tianjin Tianhai,Shandong Taishan,1-1,2-4
2019,China | Super League,2019-06-15,19:35,Matchday 13,Guangzhou R&F,Wuhan Zall FC,2-1,3-4
2019,China | Super League,2019-07-06,19:35,Matchday 16,Guangzhou R&F,Chongqing Lifan,1-1,4-2
2019,China | Super League,2019-07-12,19:35,Matchday 17,Dalian Yifang FC,Guangzhou R&F,1-1,3-2
2019,China | Super League,2019-07-13,19:35,Matchday 17,Tianjin Tianhai,Shenzhen FC,1-1,2-2
2019,China | Super League,2019-07-20,19:35,Matchday 19,Tianjin Teda,Dalian Yifang FC,2-1,3-3
2019,China | Super League,2019-07-27,19:35,Matchday 20,Shanghai Shenhua,Guangzhou R&F,2-2,5-3
2019,China | Super League,2019-08-02,20:00,Matchday 21,Guangzhou R&F,Jiāngsū Sūníng,1-1,2-2
2019,China | Super League,2019-10-18,19:35,Matchday 26,Shenzhen FC,Guangzhou Evergrande,1-2,2-3
2019,China | Super League,2019-11-23,15:30,Matchday 28,Dalian Yifang FC,Hebei China Fortune,1-1,3-3
2020,China | Super League,2020-07-26,18:00,Matchday 1,Hebei China Fortune,Shijiazhuang Ever Bright,1-1,2-2
2020,China | Super League,2020-08-01,20:00,Matchday 2,Shijiazhuang Ever Bright,Qingdao Huanghai,1-1,2-2
2020,China | Super League,2020-08-02,20:00,Matchday 2,Chongqing Lifan,Tianjin Teda,1-1,2-2
2020,China | Super League,2020-08-27,18:00,Matchday 7,Shijiazhuang Ever Bright,Beijing Guoan,1-1,2-2
2020,China | Super League,2020-09-01,20:00,Matchday 8,Beijing Guoan,Chongqing Lifan,2-1,5-2
2020,China | Super League,2020-09-13,18:00,Matchday 11,Jiāngsū Sūníng,Guangzhou R&F,1-1,3-3
2020,China | Super League,2020-09-15,20:00,Matchday 11,Hebei China Fortune,Beijing Guoan,1-2,3-3
2020,China | Super League,2020-10-31,19:35,"Playoffs, 5.-8. Platz Playoffs",Shandong Taishan,Hebei China Fortune,1-1,2-2
2020,China | Super League,2020-11-01,15:30,"Relegation, 9.-12. Platz Playoffs",Henan Jianye,Guangzhou R&F,1-1,3-2
2020,China | Super League,2020-11-02,15:30,"Relegation, 13.-16. Platz Playoffs",Shijiazhuang Ever Bright,Shenzhen FC,1-1,2-2
2025,China | Super League,2025-03-28,20:00,Matchday 3,Shenzhen Peng City,Yunnan Yukun,1-2,3-4
2025,China | Super League,2025-04-15,19:35,Matchday 7,Wuhan Three Towns,Beijing Guoan,1-3,4-4
2025,China | Super League,2025-05-01,19:00,Matchday 10,Zhejiang Professional,Changchun Yatai,3-1,4-2
