season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Czech Republic First League,2018-08-04,17:00,Matchday 3,Slovan Liberec,FK Teplice,1-1,2-2
2018-19,Czech Republic First League,2018-08-05,15:00,Matchday 3,MFK Karviná,FK Mladá Boleslav,1-1,3-4
2018-19,Czech Republic First League,2018-08-19,18:00,Matchday 5,AC Sparta Praha,1. FK Příbram,1-1,2-2
2018-19,Czech Republic First League,2018-10-19,18:00,Matchday 12,Bohemians Praha 1905,Viktoria Plzeň,1-1,2-2
2018-19,Czech Republic First League,2018-12-03,18:00,Matchday 17,SFC Opava,Slavia Praha,1-1,2-3
2018-19,Czech Republic First League,2019-02-16,15:00,Matchday 21,1. FK Příbram,FC Fastav Zlín,1-1,3-2
2018-19,Czech Republic First League,2019-02-17,15:00,Matchday 21,FK Jablonec,SFC Opava,1-1,2-2
2018-19,Czech Republic First League,2019-02-18,18:00,Matchday 21,FK Dukla Praha,AC Sparta Praha,1-1,2-3
2018-19,Czech Republic First League,2019-02-24,17:00,Matchday 22,AC Sparta Praha,Baník Ostrava,1-1,3-2
2018-19,Czech Republic First League,2019-03-03,15:00,Matchday 23,FK Teplice,SFC Opava,2-1,3-2
2018-19,Czech Republic First League,2019-04-07,15:30,Matchday 27,Sigma Olomouc,MFK Karviná,2-1,3-2
2018-19,Czech Republic First League,2019-05-25,17:00,"Relegation, Matchday 5",1. FK Příbram,FK Dukla Praha,1-1,3-2
2020-21,Czech Republic First League,2020-09-20,15:30,Matchday 4,Zbrojovka Brno,Sigma Olomouc,1-1,2-4
2020-21,Czech Republic First League,2020-10-04,15:30,Matchday 6,Sigma Olomouc,Viktoria Plzeň,1-1,2-2
2020-21,Czech Republic First League,2020-11-22,18:30,Matchday 8,AC Sparta Praha,Dynamo České Budějovice,1-1,2-4
2020-21,Czech Republic First League,2020-12-23,15:00,Matchday 14,FC Fastav Zlín,FK Teplice,1-2,2-3
2020-21,Czech Republic First League,2020-12-23,15:00,Matchday 14,FK Mladá Boleslav,1. FC Slovácko,1-1,2-3
2020-21,Czech Republic First League,2021-02-07,16:00,Matchday 18,1. FK Příbram,Slavia Praha,2-1,3-3
2020-21,Czech Republic First League,2021-02-14,14:00,Matchday 19,FK Mladá Boleslav,Viktoria Plzeň,1-1,2-2
2020-21,Czech Republic First League,2021-02-14,16:00,Matchday 19,AC Sparta Praha,MFK Karviná,3-2,4-3
2020-21,Czech Republic First League,2021-04-03,18:30,Matchday 25,AC Sparta Praha,FK Teplice,4-1,7-2
2020-21,Czech Republic First League,2021-04-21,15:00,Matchday 28,1. FC Slovácko,Zbrojovka Brno,2-1,4-2
2020-21,Czech Republic First League,2021-05-02,15:00,Matchday 30,FK Pardubice,MFK Karviná,1-1,2-2
2020-21,Czech Republic First League,2021-05-08,17:00,Matchday 31,Viktoria Plzeň,1. FK Příbram,1-2,3-3
2020-21,Czech Republic First League,2021-05-16,17:00,Matchday 32,FK Mladá Boleslav,AC Sparta Praha,2-2,4-5
