season,league,date,time,round,home,away,ht_score,ft_score
2012-13,Deutsche 2. Bundesliga,2012-08-13,20:15,Matchday 2,Dynamo Dresden,TSV 1860 München,1-1,2-2
2012-13,Deutsche 2. Bundesliga,2012-10-26,18:00,Matchday 11,1. FC Köln,1. FC Kaiserslautern,2-1,3-3
2012-13,Deutsche 2. Bundesliga,2012-11-18,13:30,Matchday 14,Jahn Regensburg,1. FC Union Berlin,2-1,3-3
2012-13,Deutsche 2. Bundesliga,2012-12-01,13:00,Matchday 17,Erzgebirge Aue,SV Sandhausen,1-1,2-2
2012-13,Deutsche 2. Bundesliga,2012-12-17,20:15,Matchday 19,Eintracht Braunschweig,1. FC Union Berlin,2-2,4-3
2012-13,Deutsche 2. Bundesliga,2013-03-08,18:00,Matchday 25,FC St. Pauli,Jahn Regensburg,1-1,3-2
2012-13,Deutsche 2. Bundesliga,2013-03-15,18:00,Matchday 26,1. FC Union Berlin,FC St. Pauli,2-1,4-2
2012-13,Deutsche 2. Bundesliga,2013-05-19,13:30,Matchday 34,MSV Duisburg,SC Paderborn 07,1-1,3-2
2012-13,Deutsche 2. Bundesliga,2013-05-19,13:30,Matchday 34,Eintracht Braunschweig,FSV Frankfurt,1-1,2-2
2013-14,Deutsche 2. Bundesliga,2013-08-23,18:30,Matchday 5,FC Ingolstadt 04,Arminia Bielefeld,1-1,3-2
2013-14,Deutsche 2. Bundesliga,2013-10-18,18:30,Matchday 11,SC Paderborn 07,FSV Frankfurt,1-1,4-2
2013-14,Deutsche 2. Bundesliga,2013-10-20,13:30,Matchday 11,SpVgg Greuther Fürth,FC St. Pauli,1-1,2-4
2013-14,Deutsche 2. Bundesliga,2013-10-20,13:30,Matchday 11,1. FC Kaiserslautern,Karlsruher SC,1-1,2-2
2013-14,Deutsche 2. Bundesliga,2013-11-02,13:00,Matchday 13,Erzgebirge Aue,SpVgg Greuther Fürth,1-3,2-6
2013-14,Deutsche 2. Bundesliga,2013-11-22,18:30,Matchday 15,SV Sandhausen,SC Paderborn 07,1-1,3-2
2013-14,Deutsche 2. Bundesliga,2013-11-30,13:00,Matchday 16,Dynamo Dresden,1. FC Kaiserslautern,1-1,3-2
2013-14,Deutsche 2. Bundesliga,2013-12-21,13:00,Matchday 19,FSV Frankfurt,TSV 1860 München,1-1,2-2
2013-14,Deutsche 2. Bundesliga,2013-12-21,13:00,Matchday 19,1. FC Union Berlin,Arminia Bielefeld,3-1,4-2
2013-14,Deutsche 2. Bundesliga,2014-02-07,18:30,Matchday 20,VfR Aalen,Erzgebirge Aue,1-1,2-2
2013-14,Deutsche 2. Bundesliga,2014-02-16,13:30,Matchday 21,VfR Aalen,Energie Cottbus,1-1,2-2
2013-14,Deutsche 2. Bundesliga,2014-04-11,18:30,Matchday 30,FC St. Pauli,1. FC Kaiserslautern,1-1,2-3
