season,league,date,time,round,home,away,ht_score,ft_score
2018-19,DFB Pokal,2018-08-18,18:30,Round 1,TuS Erndtebrück,Hamburger SV,1-2,3-5
2018-19,DFB Pokal,2019-02-06,20:45,Round of 16,Hertha BSC,Bayern München,1-1,2-2
2018-19,DFB Pokal,2019-04-03,18:30,Quarterfinals,Bayern München,1. FC Heidenheim 1846,1-2,5-4
2019-20,DFB Pokal,2019-08-11,15:30,Round 1,Waldhof Mannheim,Eintracht Frankfurt,2-2,3-5
2019-20,DFB Pokal,2019-08-12,18:30,Round 1,Hallescher FC,VfL Wolfsburg,1-1,3-3
2019-20,DFB Pokal,2019-10-30,18:30,Round 2,1. FC Kaiserslautern,1. FC Nürnberg,1-1,2-2
2019-20,DFB Pokal,2020-02-05,20:45,Round of 16,Bayern München,1899 Hoffenheim,3-1,4-3
2020-21,DFB Pokal,2020-09-11,20:45,Round 1,Eintracht Braunschweig,Hertha BSC,3-2,5-4
2020-21,DFB Pokal,2020-09-13,15:30,Round 1,SV 07 Elversberg,FC St. Pauli,2-1,4-2
2020-21,DFB Pokal,2020-12-22,18:30,Round 2,1899 Hoffenheim,SpVgg Greuther Fürth,1-1,2-2
2020-21,DFB Pokal,2020-12-23,18:30,Round 2,Rot-Weiss Essen,Fortuna Düsseldorf,2-1,3-2
2020-21,DFB Pokal,2021-01-13,20:45,Round 2,Holstein Kiel,Bayern München,1-1,2-2
