season,league,date,time,round,home,away,ht_score,ft_score
2012-13,Segunda División de España,2012-08-17,19:00,Matchday 1,FC Barcelona B,UD Almería,2-2,4-5
2012-13,Segunda División de España,2012-08-19,21:00,Matchday 1,Elche CF,SD Ponferradina,3-1,4-2
2012-13,Segunda División de España,2012-08-25,19:00,Matchday 2,Sporting Gijón,Real Murcia,1-1,2-3
2012-13,Segunda División de España,2012-08-25,21:00,Matchday 2,Real Madrid Castilla,FC Barcelona B,2-1,3-2
2012-13,Segunda División de España,2012-09-08,22:00,Matchday 4,Real Madrid Castilla,Xerez CD,2-1,3-2
2012-13,Segunda División de España,2012-09-22,20:00,Matchday 6,CD Guadalajara,Real Madrid Castilla,1-1,3-4
2012-13,Segunda División de España,2012-10-06,18:00,Matchday 8,Recreativo Huelva,AD Alcorcón,1-1,4-2
2012-13,Segunda División de España,2012-10-15,21:00,Matchday 9,Real Madrid Castilla,UD Las Palmas,2-1,3-2
2012-13,Segunda División de España,2012-10-26,21:00,Matchday 11,FC Barcelona B,Recreativo Huelva,1-1,2-3
2012-13,Segunda División de España,2012-10-28,12:00,Matchday 11,Real Madrid Castilla,Sporting Gijón,1-2,2-4
2012-13,Segunda División de España,2012-11-11,16:00,Matchday 13,SD Ponferradina,Córdoba CF,1-3,3-5
2012-13,Segunda División de España,2012-11-18,12:00,Matchday 14,Recreativo Huelva,CE Sabadell,1-2,2-5
2012-13,Segunda División de España,2012-11-25,19:00,Matchday 15,Real Madrid Castilla,CD Numancia,1-1,2-4
2012-13,Segunda División de España,2012-12-02,12:00,Matchday 16,Racing Santander,UD Almería,1-3,3-4
2012-13,Segunda División de España,2013-01-13,19:00,Matchday 21,UD Las Palmas,Real Murcia,2-1,3-2
2012-13,Segunda División de España,2013-01-20,17:00,Matchday 22,UD Almería,FC Barcelona B,1-1,2-2
2012-13,Segunda División de España,2013-02-16,18:00,Matchday 26,SD Ponferradina,FC Barcelona B,1-1,3-2
2012-13,Segunda División de España,2013-03-02,20:00,Matchday 28,UD Las Palmas,FC Barcelona B,1-1,3-3
2012-13,Segunda División de España,2013-03-16,18:00,Matchday 30,Sporting Gijón,FC Barcelona B,2-1,5-2
2012-13,Segunda División de España,2013-03-23,18:00,Matchday 31,CD Lugo,Racing Santander,1-1,3-2
2012-13,Segunda División de España,2013-04-07,17:00,Matchday 33,Girona FC,Real Murcia,2-1,5-2
2012-13,Segunda División de España,2013-04-07,20:00,Matchday 33,CE Sabadell,Sporting Gijón,3-2,4-3
2012-13,Segunda División de España,2013-04-28,21:00,Matchday 36,CD Numancia,Real Madrid Castilla,2-2,3-3
2012-13,Segunda División de España,2013-05-04,18:00,Matchday 37,UD Las Palmas,Sporting Gijón,1-1,4-2
2012-13,Segunda División de España,2013-05-11,18:00,Matchday 38,CD Numancia,CD Guadalajara,1-1,2-2
2012-13,Segunda División de España,2013-05-11,18:00,Matchday 38,CD Lugo,UD Almería,1-1,3-5
2012-13,Segunda División de España,2013-05-11,18:00,Matchday 38,Girona FC,Xerez CD,1-3,2-4
2012-13,Segunda División de España,2013-05-26,21:00,Matchday 40,CD Numancia,Hércules CF,1-1,3-2
2013-14,Segunda División de España,2013-08-25,21:00,Matchday 2,CD Numancia,Real Jaén,3-1,4-2
2013-14,Segunda División de España,2013-09-01,18:00,Matchday 3,Real Murcia,SD Ponferradina,1-1,2-2
2013-14,Segunda División de España,2013-09-08,17:00,Matchday 4,SD Ponferradina,Sporting Gijón,1-1,2-2
2013-14,Segunda División de España,2013-09-28,18:00,Matchday 7,Sporting Gijón,SD Eibar,1-1,3-2
2013-14,Segunda División de España,2013-10-06,12:00,Matchday 8,RCD Mallorca,Real Zaragoza,1-3,2-4
2013-14,Segunda División de España,2013-10-19,18:00,Matchday 10,CD Alavés,FC Barcelona B,1-2,2-3
2013-14,Segunda División de España,2013-11-02,20:00,Matchday 12,Girona FC,Hércules CF,1-1,2-2
2013-14,Segunda División de España,2013-11-16,18:00,Matchday 14,CD Alavés,Recreativo Huelva,2-1,3-3
2013-14,Segunda División de España,2013-12-04,20:00,Matchday 17,Real Madrid Castilla,Girona FC,1-1,3-2
2013-14,Segunda División de España,2013-12-21,18:00,Matchday 19,Deportivo La Coruña,CD Numancia,2-1,3-3
2013-14,Segunda División de España,2013-12-21,18:00,Matchday 19,FC Barcelona B,Sporting Gijón,1-1,2-2
2013-14,Segunda División de España,2014-01-04,18:00,Matchday 20,CE Sabadell,Real Madrid Castilla,2-1,3-2
2013-14,Segunda División de España,2014-01-05,12:00,Matchday 20,Sporting Gijón,Real Zaragoza,1-1,2-3
2013-14,Segunda División de España,2014-01-26,18:00,Matchday 23,Hércules CF,CD Tenerife,1-2,2-3
2013-14,Segunda División de España,2014-01-26,21:00,Matchday 23,Real Murcia,RCD Mallorca,1-1,2-2
2013-14,Segunda División de España,2014-03-01,18:15,Matchday 28,Recreativo Huelva,Real Zaragoza,1-1,2-2
2013-14,Segunda División de España,2014-03-09,17:00,Matchday 29,Sporting Gijón,CD Numancia,1-1,2-2
2013-14,Segunda División de España,2014-03-15,18:00,Matchday 30,Real Jaén,Sporting Gijón,1-1,3-2
2013-14,Segunda División de España,2014-03-15,18:15,Matchday 30,Recreativo Huelva,Real Madrid Castilla,1-2,2-3
2013-14,Segunda División de España,2014-03-16,12:00,Matchday 30,SD Ponferradina,Real Zaragoza,1-1,4-2
2013-14,Segunda División de España,2014-03-22,20:00,Matchday 31,CE Sabadell,Córdoba CF,1-1,3-2
2013-14,Segunda División de España,2014-03-30,18:15,Matchday 32,CD Alavés,Real Zaragoza,1-1,2-2
2013-14,Segunda División de España,2014-05-03,20:00,Matchday 37,Hércules CF,Real Murcia,1-1,2-3
2013-14,Segunda División de España,2014-06-07,18:30,Matchday 42,UD Las Palmas,SD Ponferradina,1-1,3-2
2014-15,Segunda División de España,2014-08-24,21:00,Matchday 1,Albacete,AD Alcorcón,1-1,2-3
2014-15,Segunda División de España,2014-09-21,12:00,Matchday 5,CA Osasuna,RCD Mallorca,1-1,6-4
2014-15,Segunda División de España,2014-09-27,16:00,Matchday 6,CD Lugo,CA Osasuna,2-2,4-3
2014-15,Segunda División de España,2014-09-28,17:00,Matchday 6,RCD Mallorca,FC Barcelona B,2-2,3-3
2014-15,Segunda División de España,2014-10-12,18:15,Matchday 8,CD Lugo,Real Zaragoza,1-2,3-3
2014-15,Segunda División de España,2014-10-18,20:00,Matchday 9,CA Osasuna,CD Tenerife,1-1,3-2
2014-15,Segunda División de España,2014-10-25,18:15,Matchday 10,Real Betis,Recreativo Huelva,2-1,3-2
2014-15,Segunda División de España,2014-10-26,12:00,Matchday 10,Albacete,Real Valladolid,1-3,3-4
2014-15,Segunda División de España,2014-11-03,21:00,Matchday 11,Real Zaragoza,CD Tenerife,1-1,2-3
2014-15,Segunda División de España,2014-11-09,17:00,Matchday 12,SD Ponferradina,Recreativo Huelva,1-1,3-3
2014-15,Segunda División de España,2014-11-22,16:00,Matchday 14,SD Ponferradina,FC Barcelona B,1-3,4-4
2014-15,Segunda División de España,2014-12-08,20:30,Matchday 16,Albacete,Real Zaragoza,1-1,2-2
2014-15,Segunda División de España,2014-12-10,20:00,Matchday 15,CE Sabadell,UD Las Palmas,1-1,2-2
2014-15,Segunda División de España,2014-12-20,16:00,Matchday 18,Girona FC,CD Alavés,1-1,2-2
2014-15,Segunda División de España,2014-12-20,21:00,Matchday 18,CD Numancia,CD Lugo,1-1,6-6
2014-15,Segunda División de España,2015-01-11,12:00,Matchday 20,UD Las Palmas,Real Zaragoza,1-1,5-3
