season,league,date,time,round,home,away,ht_score,ft_score
2014-15,French Ligue 1,2014-08-09,21:00,Matchday 1,SC Bastia,Olympique Marseille,1-2,3-3
2014-15,French Ligue 1,2014-08-16,20:00,Matchday 2,Stade Rennais,Évian Thonon Gaillard,3-1,6-2
2014-15,French Ligue 1,2014-08-30,20:00,Matchday 4,RC Lens,Stade de Reims,1-1,4-2
2014-15,French Ligue 1,2014-09-20,20:00,Matchday 6,Toulouse FC,SM Caen,1-1,3-3
2014-15,French Ligue 1,2014-10-26,17:00,Matchday 11,EA Guingamp,OGC Nice,1-4,2-7
2014-15,French Ligue 1,2014-12-06,20:00,Matchday 17,Girondins Bordeaux,FC Lorient,1-1,3-2
2014-15,French Ligue 1,2014-12-07,17:00,Matchday 17,Stade de Reims,EA Guingamp,1-1,2-3
2014-15,French Ligue 1,2014-12-13,20:00,Matchday 18,Montpellier HSC,RC Lens,2-2,3-3
2014-15,French Ligue 1,2015-01-18,14:00,Matchday 21,Paris Saint-Germain,Évian Thonon Gaillard,2-1,4-2
2014-15,French Ligue 1,2015-04-04,20:00,Matchday 31,OGC Nice,Évian Thonon Gaillard,1-1,2-2
2014-15,French Ligue 1,2015-04-04,20:00,Matchday 31,FC Metz,Toulouse FC,2-1,3-2
2014-15,French Ligue 1,2015-04-26,21:00,Matchday 34,Stade de Reims,Olympique Lyonnais,1-3,2-4
2014-15,French Ligue 1,2015-05-09,20:00,Matchday 36,Toulouse FC,Lille OSC,1-1,3-2
2014-15,French Ligue 1,2015-05-09,20:00,Matchday 36,Évian Thonon Gaillard,Stade de Reims,1-1,2-3
2015-16,French Ligue 1,2015-09-20,17:00,Matchday 6,AS Monaco,FC Lorient,1-2,2-3
2015-16,French Ligue 1,2015-09-27,17:00,Matchday 8,EA Guingamp,AS Monaco,1-2,3-3
2015-16,French Ligue 1,2015-11-22,17:00,Matchday 14,Stade Rennais,Girondins Bordeaux,1-1,2-2
2015-16,French Ligue 1,2015-11-27,20:30,Matchday 15,Olympique Lyonnais,Montpellier HSC,1-2,2-4
2015-16,French Ligue 1,2015-11-29,21:00,Matchday 15,Olympique Marseille,AS Monaco,1-2,3-3
2015-16,French Ligue 1,2016-02-13,20:00,Matchday 26,EA Guingamp,Girondins Bordeaux,1-2,2-4
2015-16,French Ligue 1,2016-02-20,20:00,Matchday 27,FC Lorient,EA Guingamp,1-2,4-3
2015-16,French Ligue 1,2016-02-27,20:00,Matchday 28,EA Guingamp,Angers SCO,1-1,2-2
2015-16,French Ligue 1,2016-03-18,20:30,Matchday 31,Olympique Marseille,Stade Rennais,1-3,2-5
2015-16,French Ligue 1,2016-04-02,20:00,Matchday 32,EA Guingamp,Montpellier HSC,1-1,2-2
2015-16,French Ligue 1,2016-04-16,20:00,Matchday 34,Gazélec FC Ajaccio,Lille OSC,1-1,2-4
2015-16,French Ligue 1,2016-04-24,17:00,Matchday 35,Gazélec FC Ajaccio,SC Bastia,2-1,3-2
2015-16,French Ligue 1,2016-05-14,21:00,Matchday 38,EA Guingamp,OGC Nice,1-2,2-3
2016-17,French Ligue 1,2016-09-11,20:45,Matchday 4,OGC Nice,Olympique Marseille,1-1,3-2
2016-17,French Ligue 1,2016-09-21,21:00,Matchday 6,Stade Rennais,Olympique Marseille,1-1,3-2
2016-17,French Ligue 1,2016-10-01,20:00,Matchday 8,Dijon FCO,Montpellier HSC,1-2,3-3
2016-17,French Ligue 1,2016-10-15,20:00,Matchday 9,Montpellier HSC,SM Caen,1-1,3-2
2016-17,French Ligue 1,2016-10-21,20:45,Matchday 10,AS Monaco,Montpellier HSC,1-1,6-2
2016-17,French Ligue 1,2016-10-23,17:00,Matchday 10,FC Metz,OGC Nice,1-2,2-4
2016-17,French Ligue 1,2016-11-26,20:00,Matchday 14,FC Metz,FC Lorient,1-1,3-3
2016-17,French Ligue 1,2016-11-29,19:00,Matchday 15,Lille OSC,SM Caen,2-1,4-2
2016-17,French Ligue 1,2016-12-03,20:00,Matchday 16,Angers SCO,FC Lorient,1-1,2-2
2016-17,French Ligue 1,2016-12-10,20:00,Matchday 17,Toulouse FC,FC Lorient,2-1,3-2
