season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Greek Super League,2018-10-28,17:15,Matchday 8,Panionios GSS,Atromitos,1-1,2-2
2018-19,Greek Super League,2018-12-01,17:15,Matchday 12,AE Lárissa,Panionios GSS,1-1,4-2
2018-19,Greek Super League,2019-04-14,19:00,Matchday 28,Lamia,AEK Athen,1-1,2-2
2018-19,Greek Super League,2019-05-05,19:00,Matchday 30,Aris Saloniki,Xanthi FC,2-1,7-2
2019-20,Greek Super League,2019-09-01,20:00,Matchday 2,Lamia,Atromitos,1-1,2-2
2019-20,Greek Super League,2019-09-01,21:30,Matchday 2,Asteras Tripolis,AEK Athen,1-1,2-3
2019-20,Greek Super League,2019-09-14,19:00,Matchday 3,Atromitos,PAOK Saloniki,1-2,2-3
2019-20,Greek Super League,2019-09-22,18:30,Matchday 4,PAOK Saloniki,Aris Saloniki,1-1,2-2
2019-20,Greek Super League,2019-10-19,20:00,Matchday 7,Panetolikos,AE Lárissa,1-1,2-2
2019-20,Greek Super League,2019-10-20,19:30,Matchday 7,AEK Athen,Volos NFC,1-1,3-2
2019-20,Greek Super League,2019-12-08,19:30,Matchday 13,Atromitos,Aris Saloniki,1-1,2-2
2019-20,Greek Super League,2020-01-04,19:30,Matchday 17,Aris Saloniki,PAOK Saloniki,2-1,4-2
2019-20,Greek Super League,2020-01-19,19:30,Matchday 19,Olympiakos Piraeus,Aris Saloniki,3-1,4-2
2019-20,Greek Super League,2020-07-06,20:00,"Relegation, Matchday 5",Atromitos,Panetolikos,1-1,2-2
2020-21,Greek Super League,2020-11-21,17:15,Matchday 9,Atromitos,Apollon Smyrnis,1-1,2-2
2020-21,Greek Super League,2020-12-13,17:15,Matchday 12,Apollon Smyrnis,AEK Athen,1-3,3-4
2020-21,Greek Super League,2020-12-21,17:15,Matchday 13,PAS Giannina,Asteras Tripolis,1-1,2-2
2020-21,Greek Super League,2021-01-24,19:30,Matchday 18,PAOK Saloniki,AEK Athen,1-1,2-2
2020-21,Greek Super League,2021-02-06,19:30,Matchday 21,Atromitos,Panathinaikos,1-1,2-3
2020-21,Greek Super League,2021-03-06,15:00,Matchday 25,OFI Heraklion,AE Lárissa,1-1,2-3
2024-25,Greek Super League,2024-08-17,20:00,Matchday 1,PAOK Saloniki,Panserraikos,2-1,3-2
2024-25,Greek Super League,2024-09-01,22:00,Matchday 3,GS Kallithea,Panathinaikos,1-1,2-2
2024-25,Greek Super League,2024-09-22,20:30,Matchday 5,Atromitos,Lamia,1-1,4-2
2024-25,Greek Super League,2024-10-26,17:30,Matchday 9,Levadiakos,Lamia,1-1,2-2
2024-25,Greek Super League,2024-11-10,16:30,Matchday 11,Levadiakos,Volos NFC,1-1,3-2
2024-25,Greek Super League,2025-01-25,17:00,Matchday 20,OFI Heraklion,Panserraikos,2-1,3-2
2024-25,Greek Super League,2025-03-30,21:00,"Championship, Matchday 1",Olympiakos Piraeus,Panathinaikos,2-1,4-2
2024-25,Greek Super League,2025-05-22,18:00,"Relegation, Matchday 10",Levadiakos,Volos NFC,1-1,3-2
2025-26,Greek Super League,2025-09-14,17:00,3. Round,AE Kifisias,Panathinaikos,1-1,3-2
2025-26,Greek Super League,2025-10-04,19:30,6. Round,AE Lárissa,Volos NFC,1-2,2-5
