season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Hungarian Nemzeti Bajnokság I,2018-07-21,20:15,Matchday 1,Budapest Honvéd,Szombathelyi Haladás,1-1,3-2
2018-19,Hungarian Nemzeti Bajnokság I,2018-08-17,20:00,Matchday 5,Debreceni VSC,MTK Budapest,1-2,3-3
2018-19,Hungarian Nemzeti Bajnokság I,2018-11-03,17:00,Matchday 13,Mezőkövesdi SE,Debreceni VSC,1-1,2-2
2018-19,Hungarian Nemzeti Bajnokság I,2018-11-10,17:00,Matchday 14,MTK Budapest,Puskás FC,1-1,3-2
2018-19,Hungarian Nemzeti Bajnokság I,2019-02-09,17:00,Matchday 20,Mezőkövesdi SE,MTK Budapest,1-1,2-3
2018-19,Hungarian Nemzeti Bajnokság I,2019-05-11,17:00,Matchday 32,Budapest Honvéd,Diósgyöri VTK,2-1,4-4
2018-19,Hungarian Nemzeti Bajnokság I,2019-05-11,17:00,Matchday 32,MOL Vidi FC,MTK Budapest,1-1,4-2
2020-21,Hungarian Nemzeti Bajnokság I,2020-08-15,18:35,Matchday 1,Zalaegerszegi TE,Fehérvár FC,2-2,3-3
2020-21,Hungarian Nemzeti Bajnokság I,2020-08-30,20:00,Matchday 3,Puskás FC,Újpest FC,1-1,3-2
2020-21,Hungarian Nemzeti Bajnokság I,2020-11-07,14:45,Matchday 10,Paksi SE,Puskás FC,3-1,6-2
2020-21,Hungarian Nemzeti Bajnokság I,2020-12-13,14:30,Matchday 14,Mezőkövesdi SE,Paksi SE,2-1,4-3
2020-21,Hungarian Nemzeti Bajnokság I,2020-12-23,18:00,Matchday 11,Újpest FC,Zalaegerszegi TE,1-1,3-2
2020-21,Hungarian Nemzeti Bajnokság I,2021-01-31,14:10,Matchday 18,Zalaegerszegi TE,Paksi SE,1-2,4-4
2020-21,Hungarian Nemzeti Bajnokság I,2021-02-26,20:00,Matchday 23,Diósgyöri VTK,Mezőkövesdi SE,1-1,2-2
2020-21,Hungarian Nemzeti Bajnokság I,2021-03-14,17:00,Matchday 26,Ferencvárosi TC,Paksi SE,1-1,5-2
2020-21,Hungarian Nemzeti Bajnokság I,2021-05-08,19:30,Matchday 33,Újpest FC,Zalaegerszegi TE,3-1,5-4
