season,league,date,time,round,home,away,ht_score,ft_score
2013-14,Italian Serie B,2013-08-24,20:30,Matchday 1,Brescia Calcio,Virtus Lanciano,1-1,2-2
2013-14,Italian Serie B,2013-09-02,20:30,Matchday 2,Trapani Calcio,Delfino Pescara,1-1,2-2
2013-14,Italian Serie B,2013-09-08,15:00,Matchday 3,Delfino Pescara,FC Crotone,1-1,2-2
2013-14,Italian Serie B,2013-09-14,15:00,Matchday 4,AS Varese 1910,Delfino Pescara,1-1,3-2
2013-14,Italian Serie B,2013-10-21,20:30,Matchday 10,AC Siena,US Palermo,1-2,2-3
2013-14,Italian Serie B,2013-10-26,15:00,Matchday 11,Ternana Calcio,FC Crotone,1-2,2-3
2013-14,Italian Serie B,2013-11-01,15:00,Matchday 12,FC Crotone,Novara Calcio,1-1,2-2
2013-14,Italian Serie B,2013-11-01,15:00,Matchday 12,Delfino Pescara,Brescia Calcio,2-1,3-3
2013-14,Italian Serie B,2013-11-17,12:30,Matchday 14,Modena FC,Carpi FC,1-2,2-3
2013-14,Italian Serie B,2013-11-17,15:00,Matchday 14,AC Cesena,AS Cittadella,1-1,2-2
2013-14,Italian Serie B,2013-11-30,15:00,Matchday 16,Delfino Pescara,Carpi FC,1-1,4-2
2013-14,Italian Serie B,2013-12-14,15:00,Matchday 18,AS Bari,Carpi FC,1-1,2-2
2013-14,Italian Serie B,2013-12-21,15:00,Matchday 19,Brescia Calcio,AS Varese 1910,2-1,4-2
2013-14,Italian Serie B,2013-12-26,15:00,Matchday 20,Calcio Padova,AC Siena,1-1,2-2
2013-14,Italian Serie B,2013-12-29,15:00,Matchday 21,Brescia Calcio,Trapani Calcio,1-1,3-3
2013-14,Italian Serie B,2014-03-15,15:00,Matchday 29,Juve Stabia,Ternana Calcio,1-2,2-3
2013-14,Italian Serie B,2014-03-29,15:00,Matchday 32,Delfino Pescara,Reggina Calcio,1-1,2-2
2013-14,Italian Serie B,2014-04-05,15:00,Matchday 33,Carpi FC,Trapani Calcio,1-1,3-2
2013-14,Italian Serie B,2014-04-05,15:00,Matchday 33,Juve Stabia,AS Varese 1910,1-2,2-4
2013-14,Italian Serie B,2014-04-13,12:30,Matchday 34,Calcio Padova,Reggina Calcio,1-1,2-2
2013-14,Italian Serie B,2014-04-17,18:00,Matchday 35,FC Crotone,AS Varese 1910,1-1,3-2
2013-14,Italian Serie B,2014-04-17,20:30,Matchday 35,Juve Stabia,AS Avellino,1-1,2-2
2013-14,Italian Serie B,2014-05-13,20:30,Matchday 39,AS Avellino,Trapani Calcio,2-1,3-3
2013-14,Italian Serie B,2014-05-13,20:30,Matchday 39,Delfino Pescara,Virtus Lanciano,1-1,2-2
2013-14,Italian Serie B,2014-05-17,15:00,Matchday 40,Juve Stabia,FC Crotone,1-1,2-2
2014-15,Italian Serie B,2014-09-20,15:00,Matchday 4,AS Cittadella,Delfino Pescara,1-1,3-2
2014-15,Italian Serie B,2014-10-04,15:00,Matchday 7,AS Cittadella,Virtus Lanciano,1-2,2-3
2014-15,Italian Serie B,2014-10-12,12:30,Matchday 8,Calcio Catania,FC Bari 1908,1-2,2-3
