season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Liga MX,2018-07-29,12:00,"Apertura, Matchday 2",Pumas UNAM,Club Necaxa,1-1,5-3
2018-19,Liga MX,2018-08-03,19:00,"Apertura, Matchday 3",CD Veracruz,Monarcas Morelia,1-1,2-2
2018-19,Liga MX,2018-08-05,12:00,"Apertura, Matchday 3",Deportivo Toluca,Deportivo Guadalajara,1-1,2-2
2018-19,Liga MX,2018-08-25,19:00,"Apertura, Matchday 7",CF América,Pumas UNAM,1-1,2-2
2018-19,Liga MX,2018-09-21,21:00,"Apertura, Matchday 10",Puebla FC,CF América,1-2,2-3
2018-19,Liga MX,2018-10-06,19:00,"Apertura, Matchday 12",UANL Tigres,CF América,1-1,2-3
2018-19,Liga MX,2018-10-19,21:00,"Apertura, Matchday 13",Atlas Guadalajara,CD Veracruz,2-2,4-3
2018-19,Liga MX,2018-10-21,16:30,"Apertura, Matchday 13",Pumas UNAM,UANL Tigres,2-2,3-3
2018-19,Liga MX,2019-01-05,19:06,"Clausura, Matchday 1",Club León,UANL Tigres,1-1,2-2
2018-19,Liga MX,2019-01-26,17:00,"Clausura, Matchday 4",CF Monterrey,CF América,1-1,3-2
2018-19,Liga MX,2019-02-15,19:00,"Clausura, Matchday 7",Monarcas Morelia,CF Monterrey,1-1,2-3
2018-19,Liga MX,2019-03-08,19:00,"Clausura, Matchday 10",CD Veracruz,Santos Laguna,1-1,2-2
2018-19,Liga MX,2019-03-30,19:00,"Clausura, Matchday 12",CF Pachuca,Deportivo Toluca,2-1,3-2
2018-19,Liga MX,2019-04-13,19:00,"Clausura, Matchday 14",CF Pachuca,CD Veracruz,6-1,9-2
2018-19,Liga MX,2019-04-20,17:00,"Clausura, Matchday 15",Club Necaxa,CF Pachuca,1-1,2-2
2018-19,Liga MX,2019-04-21,12:00,"Clausura, Matchday 15",Deportivo Toluca,CF América,1-1,3-2
2018-19,Liga MX,2019-05-05,18:06,"Clausura, Matchday 17",Santos Laguna,Pumas UNAM,3-1,5-2
2019-20,Liga MX,2019-07-26,21:00,"Apertura, Matchday 2",CD Veracruz,CF Pachuca,2-1,3-3
2019-20,Liga MX,2019-08-17,19:00,"Apertura, Matchday 5",Club León,Deportivo Guadalajara,2-1,4-3
2019-20,Liga MX,2019-08-28,19:00,"Apertura, Matchday 7",Club León,Santos Laguna,1-1,2-2
2019-20,Liga MX,2019-09-21,21:00,"Apertura, Matchday 10",CF América,Gallos Blancos,1-1,2-2
2019-20,Liga MX,2019-09-24,21:00,"Apertura, Matchday 11",Deportivo Guadalajara,CF Pachuca,1-1,2-4
2019-20,Liga MX,2019-09-25,21:06,"Apertura, Matchday 11",Club Tijuana,Monarcas Morelia,2-1,3-2
2019-20,Liga MX,2019-10-05,21:06,"Apertura, Matchday 13",Club Tijuana,Atlas Guadalajara,1-1,2-2
2019-20,Liga MX,2019-10-19,17:00,"Apertura, Matchday 14",Cruz Azul,Monarcas Morelia,1-1,2-3
2019-20,Liga MX,2019-10-30,19:00,"Apertura, Matchday 16",CF Pachuca,CF Monterrey,1-2,2-3
2019-20,Liga MX,2019-11-08,19:00,"Apertura, Matchday 18",Monarcas Morelia,Puebla FC,1-1,3-2
2019-20,Liga MX,2019-11-27,19:00,"Apertura Playoffs, Quarterfinals",Monarcas Morelia,Club León,2-2,3-3
2019-20,Liga MX,2020-01-16,21:15,"Clausura, Matchday 2",FC Juárez,Pumas UNAM,3-2,4-4
2019-20,Liga MX,2020-01-18,17:00,"Clausura, Matchday 2",CF Monterrey,Monarcas Morelia,1-1,2-2
2019-20,Liga MX,2020-02-02,12:00,"Clausura, Matchday 4",Deportivo Toluca,Cruz Azul,2-2,3-3
2019-20,Liga MX,2020-02-05,20:30,"Clausura, Matchday 1",Club Necaxa,CF Monterrey,1-1,2-2
2019-20,Liga MX,2020-02-16,17:00,"Clausura, Matchday 6",Club Necaxa,Gallos Blancos,1-2,2-3
2019-20,Liga MX,2020-03-06,20:00,"Clausura, Matchday 9",Pumas UNAM,CF América,1-1,3-3
2019-20,Liga MX,2020-03-07,17:00,"Clausura, Matchday 9",Cruz Azul,Club Tijuana,1-1,4-2
2019-20,Liga MX,2020-03-13,21:10,"Clausura, Matchday 10",Club Tijuana,CF Pachuca,1-1,3-2
2019-20,Liga MX,2020-03-15,12:00,"Clausura, Matchday 10",Deportivo Toluca,Atlas Guadalajara,1-1,2-3
2020-21,Liga MX,2020-08-02,12:00,"Apertura, Matchday 2",Deportivo Toluca,Atlético San Luis,2-1,3-2
2020-21,Liga MX,2020-08-08,19:06,"Apertura, Matchday 3",CF Monterrey,Santos Laguna,1-1,2-2
2020-21,Liga MX,2020-08-15,19:00,"Apertura, Matchday 5",Cruz Azul,FC Juárez,1-1,3-2
2020-21,Liga MX,2020-08-16,12:00,"Apertura, Matchday 5",Deportivo Toluca,UANL Tigres,1-1,3-2
2020-21,Liga MX,2020-08-24,21:05,"Apertura, Matchday 6",CF Pachuca,Mazatlán FC,2-1,4-3
2020-21,Liga MX,2020-09-18,21:30,"Apertura, Matchday 11",Mazatlán FC,Cruz Azul,1-1,2-3
2020-21,Liga MX,2020-09-25,19:30,"Apertura, Matchday 12",Puebla FC,Gallos Blancos,1-2,3-3
2020-21,Liga MX,2020-10-03,21:00,"Apertura, Matchday 13",CF América,Pumas UNAM,1-1,2-2
2020-21,Liga MX,2020-10-30,19:30,"Apertura, Matchday 16",Club Necaxa,Deportivo Toluca,1-1,3-2
2020-21,Liga MX,2020-11-08,12:00,"Apertura, Matchday 17",Deportivo Toluca,Club León,1-1,2-2
2020-21,Liga MX,2021-01-08,21:30,"Clausura, Matchday 1",Mazatlán FC,Club Necaxa,2-1,3-2
