season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Netherlands Eredivisie,2018-09-02,14:30,Matchday 4,Heracles Almelo,AZ Alkmaar,1-1,3-2
2018-19,Netherlands Eredivisie,2018-09-02,16:45,Matchday 4,Feyenoord,NAC Breda,1-1,4-2
2018-19,Netherlands Eredivisie,2018-09-16,14:30,Matchday 5,sc Heerenveen,Heracles Almelo,1-1,3-5
2018-19,Netherlands Eredivisie,2018-09-16,14:30,Matchday 5,NAC Breda,Fortuna Sittard,1-1,2-3
2018-19,Netherlands Eredivisie,2018-09-22,18:30,Matchday 6,Fortuna Sittard,Willem II,2-2,4-4
2018-19,Netherlands Eredivisie,2018-09-30,14:30,Matchday 7,AZ Alkmaar,PEC Zwolle,1-1,2-2
2018-19,Netherlands Eredivisie,2018-10-28,16:45,Matchday 10,AZ Alkmaar,sc Heerenveen,1-1,2-3
2018-19,Netherlands Eredivisie,2018-11-02,20:00,Matchday 11,SBV Excelsior,FC Groningen,1-2,2-4
2018-19,Netherlands Eredivisie,2018-11-10,20:45,Matchday 12,VVV-Venlo,Fortuna Sittard,2-1,3-2
2018-19,Netherlands Eredivisie,2018-12-02,16:45,Matchday 14,FC Groningen,NAC Breda,1-1,5-2
2018-19,Netherlands Eredivisie,2018-12-23,14:30,Matchday 17,De Graafschap,Vitesse,1-1,2-2
2018-19,Netherlands Eredivisie,2018-12-23,14:30,Matchday 17,ADO Den Haag,Feyenoord,1-1,2-2
2018-19,Netherlands Eredivisie,2019-01-19,19:45,Matchday 18,ADO Den Haag,VVV-Venlo,1-1,2-4
2018-19,Netherlands Eredivisie,2019-01-20,16:45,Matchday 18,AFC Ajax,sc Heerenveen,3-1,4-4
2018-19,Netherlands Eredivisie,2019-01-26,20:45,Matchday 19,VVV-Venlo,FC Emmen,1-1,2-3
2018-19,Netherlands Eredivisie,2019-02-02,18:30,Matchday 20,Vitesse,sc Heerenveen,1-1,2-2
2018-19,Netherlands Eredivisie,2019-02-03,14:30,Matchday 20,PEC Zwolle,FC Utrecht,1-1,4-3
2018-19,Netherlands Eredivisie,2019-03-03,14:30,Matchday 24,FC Groningen,VVV-Venlo,2-1,3-2
2018-19,Netherlands Eredivisie,2019-03-09,20:45,Matchday 25,Willem II,De Graafschap,2-1,3-2
2018-19,Netherlands Eredivisie,2019-03-16,19:45,Matchday 26,Feyenoord,Willem II,1-1,2-3
2018-19,Netherlands Eredivisie,2019-03-30,18:30,Matchday 27,Willem II,Fortuna Sittard,1-1,3-2
2018-19,Netherlands Eredivisie,2019-04-07,16:45,Matchday 29,Vitesse,PSV Eindhoven,1-1,3-3
2018-19,Netherlands Eredivisie,2019-04-13,18:30,Matchday 30,AFC Ajax,SBV Excelsior,3-1,6-2
2018-19,Netherlands Eredivisie,2019-05-12,14:30,Matchday 34,Heracles Almelo,SBV Excelsior,1-2,4-5
2018-19,Netherlands Eredivisie,2019-05-15,19:30,Matchday 33,SBV Excelsior,AZ Alkmaar,1-1,4-2
2018-19,Netherlands Eredivisie,2019-05-15,19:30,Matchday 33,ADO Den Haag,Willem II,1-1,6-2
2019-20,Netherlands Eredivisie,2019-08-03,18:30,Matchday 1,Vitesse,AFC Ajax,1-1,2-2
2019-20,Netherlands Eredivisie,2019-08-25,16:45,Matchday 4,PEC Zwolle,Sparta Rotterdam,1-1,2-2
2019-20,Netherlands Eredivisie,2019-09-20,20:00,Matchday 7,FC Twente,Heracles Almelo,1-2,2-3
2019-20,Netherlands Eredivisie,2019-09-22,14:30,Matchday 7,FC Emmen,Feyenoord,2-2,3-3
2019-20,Netherlands Eredivisie,2019-10-06,14:30,Matchday 9,Fortuna Sittard,Feyenoord,3-1,4-2
2019-20,Netherlands Eredivisie,2019-10-19,18:30,Matchday 10,AZ Alkmaar,sc Heerenveen,1-3,2-4
2019-20,Netherlands Eredivisie,2019-11-01,20:00,Matchday 12,PEC Zwolle,AFC Ajax,1-3,2-4
2019-20,Netherlands Eredivisie,2020-01-17,20:00,Matchday 19,PEC Zwolle,FC Utrecht,1-1,3-3
2019-20,Netherlands Eredivisie,2020-02-11,20:45,Matchday 22,Sparta Rotterdam,ADO Den Haag,3-1,4-2
2019-20,Netherlands Eredivisie,2020-02-16,16:45,Matchday 23,PEC Zwolle,Feyenoord,2-1,3-4
2019-20,Netherlands Eredivisie,2020-02-29,19:45,Matchday 25,PEC Zwolle,Vitesse,1-2,4-3
2020-21,Netherlands Eredivisie,2020-09-26,18:45,Matchday 3,Fortuna Sittard,AZ Alkmaar,1-1,3-3
2020-21,Netherlands Eredivisie,2020-09-27,12:15,Matchday 3,Feyenoord,ADO Den Haag,1-1,4-2
2020-21,Netherlands Eredivisie,2020-10-31,20:00,Matchday 7,AFC Ajax,Fortuna Sittard,2-1,5-2
2020-21,Netherlands Eredivisie,2020-11-28,21:00,Matchday 10,VVV-Venlo,PEC Zwolle,1-1,2-2
2020-21,Netherlands Eredivisie,2020-12-05,16:30,Matchday 11,RKC Waalwijk,VVV-Venlo,1-1,3-2
2020-21,Netherlands Eredivisie,2020-12-19,16:30,Matchday 13,Sparta Rotterdam,FC Groningen,1-1,2-3
2020-21,Netherlands Eredivisie,2020-12-20,16:45,Matchday 13,AZ Alkmaar,Willem II,2-2,5-3
2020-21,Netherlands Eredivisie,2021-01-16,18:45,Matchday 17,Sparta Rotterdam,PSV Eindhoven,1-1,3-5
2020-21,Netherlands Eredivisie,2021-01-24,16:45,Matchday 18,Feyenoord,AZ Alkmaar,1-1,2-3
2020-21,Netherlands Eredivisie,2021-01-30,18:45,Matchday 20,FC Utrecht,PEC Zwolle,1-2,3-3
2020-21,Netherlands Eredivisie,2021-02-20,18:45,Matchday 23,FC Emmen,PEC Zwolle,2-1,3-2
2020-21,Netherlands Eredivisie,2021-02-27,21:00,Matchday 24,Heracles Almelo,FC Twente,1-1,2-2
2020-21,Netherlands Eredivisie,2021-05-02,12:15,Matchday 31,ADO Den Haag,Feyenoord,2-1,3-2
2020-21,Netherlands Eredivisie,2021-05-08,21:00,Matchday 32,VVV-Venlo,RKC Waalwijk,2-2,3-3
2020-21,Netherlands Eredivisie,2021-05-13,14:30,Matchday 33,Fortuna Sittard,Vitesse,2-2,3-3
2021-22,Netherlands Eredivisie,2021-08-27,20:00,Matchday 3,Fortuna Sittard,RKC Waalwijk,1-1,2-2
2021-22,Netherlands Eredivisie,2021-09-11,18:45,Matchday 4,SC Cambuur,Go Ahead Eagles,1-1,5-2
2021-22,Netherlands Eredivisie,2021-09-19,16:45,Matchday 5,Heracles Almelo,AZ Alkmaar,1-1,3-2
2021-22,Netherlands Eredivisie,2021-09-25,21:00,Matchday 7,Feyenoord,NEC Nijmegen,2-2,5-3
2021-22,Netherlands Eredivisie,2021-10-16,18:45,Matchday 9,Go Ahead Eagles,Heracles Almelo,1-1,4-2
2021-22,Netherlands Eredivisie,2021-10-24,14:30,Matchday 10,SC Cambuur,Feyenoord,1-2,2-3
2021-22,Netherlands Eredivisie,2021-12-18,16:30,Matchday 17,Fortuna Sittard,FC Utrecht,1-1,2-2
2021-22,Netherlands Eredivisie,2021-12-18,20:00,Matchday 17,Heracles Almelo,FC Groningen,2-1,4-2
2021-22,Netherlands Eredivisie,2022-02-12,18:45,Matchday 22,SC Cambuur,PEC Zwolle,2-2,3-4
2021-22,Netherlands Eredivisie,2022-05-01,12:15,Matchday 31,sc Heerenveen,SC Cambuur,2-1,3-3
2021-22,Netherlands Eredivisie,2022-05-01,14:30,Matchday 31,PSV Eindhoven,Willem II,3-1,4-2
2022-23,Netherlands Eredivisie,2022-08-07,14:30,Matchday 1,Vitesse,Feyenoord,1-2,2-5
2022-23,Netherlands Eredivisie,2022-08-13,18:45,Matchday 2,Go Ahead Eagles,PSV Eindhoven,1-3,2-5
2022-23,Netherlands Eredivisie,2022-08-14,16:45,Matchday 2,Sparta Rotterdam,AZ Alkmaar,1-1,2-3
2022-23,Netherlands Eredivisie,2022-09-03,21:00,Matchday 5,Go Ahead Eagles,Feyenoord,2-2,3-4
2022-23,Netherlands Eredivisie,2022-09-09,20:00,Matchday 6,FC Volendam,Go Ahead Eagles,1-1,2-3
