season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Portuguese Primeira Liga,2018-08-17,20:30,Matchday 2,CD Aves,CD Tondela,1-1,2-2
2018-19,Portuguese Primeira Liga,2018-09-01,19:00,Matchday 4,CD Santa Clara,Boavista,1-1,4-2
2018-19,Portuguese Primeira Liga,2018-11-04,15:00,Matchday 9,CD Feirense,CD Tondela,1-1,2-4
2018-19,Portuguese Primeira Liga,2018-11-05,19:00,Matchday 9,Rio Ave FC,CD Nacional,2-1,3-3
2018-19,Portuguese Primeira Liga,2018-11-30,20:30,Matchday 11,CD Santa Clara,Belenenses SAD,1-1,2-3
2018-19,Portuguese Primeira Liga,2018-12-02,15:00,Matchday 11,CD Aves,CD Nacional,1-1,2-3
2018-19,Portuguese Primeira Liga,2018-12-09,17:30,Matchday 12,Vitória Guimarães,Rio Ave FC,2-1,3-2
2018-19,Portuguese Primeira Liga,2019-02-01,20:30,Matchday 20,Rio Ave FC,CD Tondela,1-1,2-2
2018-19,Portuguese Primeira Liga,2019-02-03,17:30,Matchday 20,Sporting CP,SL Benfica,1-2,2-4
2018-19,Portuguese Primeira Liga,2019-03-02,15:30,Matchday 24,CD Nacional,CD Tondela,1-1,3-2
2018-19,Portuguese Primeira Liga,2019-03-30,15:30,Matchday 27,Sporting Braga,FC Porto,1-1,2-3
2018-19,Portuguese Primeira Liga,2019-04-12,20:30,Matchday 29,GD Chaves,Belenenses SAD,1-1,2-2
2018-19,Portuguese Primeira Liga,2019-04-14,20:00,Matchday 29,SL Benfica,Vitória Setúbal,2-1,4-2
2018-19,Portuguese Primeira Liga,2019-05-04,15:30,Matchday 32,CD Feirense,GD Chaves,2-1,4-4
2018-19,Portuguese Primeira Liga,2019-05-11,15:30,Matchday 33,CD Santa Clara,CD Feirense,2-3,4-4
2019-20,Portuguese Primeira Liga,2019-08-31,16:30,Matchday 4,CD Aves,FC Famalicão,1-1,2-3
2019-20,Portuguese Primeira Liga,2019-08-31,19:00,Matchday 4,Sporting CP,Rio Ave FC,1-1,2-3
2019-20,Portuguese Primeira Liga,2019-09-15,16:00,Matchday 5,Rio Ave FC,CD Tondela,1-2,2-4
2019-20,Portuguese Primeira Liga,2019-11-30,15:30,Matchday 12,Moreirense FC,CD Aves,2-1,3-2
2019-20,Portuguese Primeira Liga,2019-12-07,15:00,Matchday 13,CS Marítimo,CD Santa Clara,1-1,2-2
2019-20,Portuguese Primeira Liga,2019-12-07,18:00,Matchday 13,FC Famalicão,CD Tondela,1-2,2-3
2019-20,Portuguese Primeira Liga,2020-06-04,21:15,Matchday 25,Vitória Guimarães,Sporting CP,1-1,2-2
2019-20,Portuguese Primeira Liga,2020-06-05,19:00,Matchday 25,CD Santa Clara,Sporting Braga,1-1,3-2
2019-20,Portuguese Primeira Liga,2020-06-07,21:00,Matchday 25,Rio Ave FC,Paços de Ferreira,1-2,2-3
2019-20,Portuguese Primeira Liga,2020-06-10,17:00,Matchday 26,Vitória Setúbal,CD Santa Clara,1-1,2-2
2019-20,Portuguese Primeira Liga,2020-06-30,21:30,Matchday 29,Rio Ave FC,Sporting Braga,3-2,4-3
2019-20,Portuguese Primeira Liga,2020-07-18,19:00,Matchday 33,Rio Ave FC,CD Santa Clara,1-1,2-2
2019-20,Portuguese Primeira Liga,2020-07-24,21:15,Matchday 34,Gil Vicente,Paços de Ferreira,2-2,3-3
2019-20,Portuguese Primeira Liga,2020-07-25,19:00,Matchday 34,CS Marítimo,FC Famalicão,1-1,3-3
2020-21,Portuguese Primeira Liga,2020-09-19,16:00,Matchday 1,CD Nacional,Boavista,2-2,3-3
2020-21,Portuguese Primeira Liga,2020-10-03,18:30,Matchday 3,FC Porto,CS Marítimo,1-1,2-3
2020-21,Portuguese Primeira Liga,2020-10-30,20:30,Matchday 6,Paços de Ferreira,FC Porto,2-1,3-2
2020-21,Portuguese Primeira Liga,2020-12-05,20:30,Matchday 9,FC Porto,CD Tondela,2-2,4-3
2020-21,Portuguese Primeira Liga,2020-12-29,21:00,Matchday 11,Vitória Guimarães,FC Porto,1-1,2-3
2020-21,Portuguese Primeira Liga,2021-01-09,17:00,Matchday 13,Moreirense FC,Vitória Guimarães,1-1,2-2
2020-21,Portuguese Primeira Liga,2021-03-14,17:30,Matchday 23,Vitória Guimarães,Gil Vicente,1-3,2-4
2020-21,Portuguese Primeira Liga,2021-04-10,15:30,Matchday 26,Boavista,Rio Ave FC,2-1,3-3
2020-21,Portuguese Primeira Liga,2021-04-30,21:15,Matchday 30,FC Porto,FC Famalicão,1-1,3-2
2020-21,Portuguese Primeira Liga,2021-05-01,18:00,Matchday 30,CD Santa Clara,Boavista,1-1,3-3
2020-21,Portuguese Primeira Liga,2021-05-15,18:00,Matchday 33,SL Benfica,Sporting CP,3-1,4-3
2021-22,Portuguese Primeira Liga,2021-09-12,15:30,Matchday 5,Moreirense FC,FC Famalicão,1-1,2-2
2021-22,Portuguese Primeira Liga,2021-09-25,20:30,Matchday 7,CD Tondela,FC Famalicão,1-1,3-2
2021-22,Portuguese Primeira Liga,2021-10-03,20:30,Matchday 8,Sporting Braga,Boavista,1-1,2-2
2021-22,Portuguese Primeira Liga,2021-11-05,21:15,Matchday 11,Boavista,FC Famalicão,1-3,2-5
2021-22,Portuguese Primeira Liga,2021-11-29,20:15,Matchday 12,GD Estoril,CD Santa Clara,1-1,2-2
2021-22,Portuguese Primeira Liga,2022-01-07,18:30,Matchday 17,CD Santa Clara,Sporting CP,1-1,3-2
2021-22,Portuguese Primeira Liga,2022-01-09,18:00,Matchday 17,Sporting Braga,FC Famalicão,1-1,2-2
2021-22,Portuguese Primeira Liga,2022-01-30,15:30,Matchday 20,FC Vizela,Vitória Guimarães,1-1,3-2
2021-22,Portuguese Primeira Liga,2022-02-06,15:30,Matchday 21,Gil Vicente,CD Santa Clara,1-1,2-2
2021-22,Portuguese Primeira Liga,2022-02-27,18:00,Matchday 24,GD Estoril,Boavista,1-1,2-3
2021-22,Portuguese Primeira Liga,2022-03-06,18:00,Matchday 25,Paços de Ferreira,FC Porto,1-2,2-4
2021-22,Portuguese Primeira Liga,2022-04-30,19:00,Matchday 32,FC Porto,FC Vizela,2-1,4-2
2022-23,Portuguese Primeira Liga,2022-08-07,18:00,Matchday 1,Sporting Braga,Sporting CP,2-2,3-3
2022-23,Portuguese Primeira Liga,2022-08-30,20:15,Matchday 3,SL Benfica,Paços de Ferreira,2-1,3-2
2022-23,Portuguese Primeira Liga,2022-10-08,18:00,Matchday 9,SL Benfica,Rio Ave FC,3-1,4-2
2022-23,Portuguese Primeira Liga,2022-10-23,20:30,Matchday 10,Vitória Guimarães,Boavista,1-1,3-2
2022-23,Portuguese Primeira Liga,2023-01-15,18:00,Matchday 16,SL Benfica,Sporting CP,1-1,2-2
2022-23,Portuguese Primeira Liga,2023-02-20,19:00,Matchday 21,GD Chaves,Sporting CP,1-1,2-3
2022-23,Portuguese Primeira Liga,2023-03-10,20:15,Matchday 24,FC Porto,GD Estoril,2-1,3-2
2022-23,Portuguese Primeira Liga,2023-04-09,18:00,Matchday 27,Casa Pia AC,Sporting CP,2-2,3-4
2022-23,Portuguese Primeira Liga,2023-05-14,18:00,Matchday 32,Sporting Braga,CD Santa Clara,3-1,5-3
2023-24,Portuguese Primeira Liga,2023-08-13,20:30,Matchday 1,FC Arouca,GD Estoril Praia,1-1,4-3
2023-24,Portuguese Primeira Liga,2023-08-19,18:00,Matchday 2,GD Chaves,Sporting Clube de Braga,1-1,2-4
2023-24,Portuguese Primeira Liga,2023-08-20,20:30,Matchday 2,FC Vizela,FC Arouca,1-1,2-2
2023-24,Portuguese Primeira Liga,2023-09-30,18:00,Matchday 7,Boavista FC,FC Famalicão,1-1,2-2
2023-24,Portuguese Primeira Liga,2023-09-30,20:30,Matchday 7,SC Farense,Sporting Clube de Portugal,1-2,2-3
2023-24,Portuguese Primeira Liga,2023-10-29,15:30,Matchday 9,Rio Ave FC,SC Farense,2-2,3-4
2023-24,Portuguese Primeira Liga,2023-12-09,18:00,Matchday 13,Vitória Guimarães,Sporting Clube de Portugal,1-1,3-2
2023-24,Portuguese Primeira Liga,2023-12-17,15:30,Matchday 14,Moreirense FC,Portimonense SC,2-1,5-2
2023-24,Portuguese Primeira Liga,2024-01-18,20:45,Matchday 18,FC Vizela,Sporting Clube de Portugal,1-1,2-5
2023-24,Portuguese Primeira Liga,2024-02-11,20:30,Matchday 21,Vitória Guimarães,Sport Lisboa e Benfica,1-1,2-2
2023-24,Portuguese Primeira Liga,2024-02-12,20:15,Matchday 21,FC Arouca,FC Porto,2-1,3-2
2023-24,Portuguese Primeira Liga,2024-02-23,20:15,Matchday 23,FC Arouca,FC Famalicão,2-1,3-2
2023-24,Portuguese Primeira Liga,2024-02-25,20:30,Matchday 23,Rio Ave FC,Sporting Clube de Portugal,2-2,3-3
2023-24,Portuguese Primeira Liga,2024-03-03,18:00,Matchday 24,Sporting Clube de Portugal,SC Farense,2-1,3-2
2023-24,Portuguese Primeira Liga,2024-04-01,20:15,Matchday 27,Portimonense SC,Sporting Clube de Braga,1-2,3-5
2023-24,Portuguese Primeira Liga,2024-04-14,15:30,Matchday 29,CF Estrela da Amadora,Rio Ave FC,1-1,2-2
2023-24,Portuguese Primeira Liga,2024-05-05,15:30,Matchday 32,SC Farense,GD Estoril Praia,2-1,3-2
2023-24,Portuguese Primeira Liga,2024-05-05,18:00,Matchday 32,Sporting Clube de Braga,Casa Pia AC,1-1,4-3
2023-24,Portuguese Primeira Liga,2024-05-11,20:30,Matchday 33,Vitória Guimarães,Sporting Clube de Braga,1-1,2-3
2024-25,Portuguese Primeira Liga,2024-10-27,20:30,Matchday 9,CF Estrela da Amadora,Vitória Guimarães,1-1,2-2
