season,league,date,time,round,home,away,ht_score,ft_score
2019-20,Russia 1. Division,2019-07-20,16:30,Matchday 2,Krylia Sovetov,Arsenal Tula,1-2,2-3
2019-20,Russia 1. Division,2019-07-20,21:30,Matchday 2,FK Rostov,Spartak Moskva,1-1,2-2
2019-20,Russia 1. Division,2019-09-01,14:00,Matchday 8,FK Ural,FK Krasnodar,1-2,2-4
2019-20,Russia 1. Division,2019-09-15,19:00,Matchday 9,FK Krasnodar,Krylia Sovetov,1-1,4-2
2019-20,Russia 1. Division,2019-11-22,19:30,Matchday 17,FK Tambov,Lokomotiv Moskva,1-2,2-3
2019-20,Russia 1. Division,2019-12-08,14:00,Matchday 19,Krylia Sovetov,FK Ural,1-1,2-3
2019-20,Russia 1. Division,2020-03-09,14:00,Matchday 21,FK Rostov,CSKA Moskva,1-1,3-2
2019-20,Russia 1. Division,2020-03-13,19:30,Matchday 22,Akhmat Grozny,Dinamo Moskva,1-1,2-3
2019-20,Russia 1. Division,2020-07-05,20:30,Matchday 26,FK Krasnodar,Zenit St. Petersburg,1-2,2-4
2019-20,Russia 1. Division,2020-07-07,20:30,Matchday 27,Arsenal Tula,Krylia Sovetov,1-1,2-4
