season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Scottish Premiership,2018-12-26,14:00,Matchday 20,Aberdeen FC,Celtic FC,1-1,3-4
2018-19,Scottish Premiership,2019-02-06,19:45,Matchday 25,Aberdeen FC,Rangers FC,1-3,2-4
2018-19,Scottish Premiership,2019-02-16,15:00,Matchday 26,Aberdeen FC,St. Mirren FC,1-1,2-2
2018-19,Scottish Premiership,2019-02-22,19:45,Matchday 27,Dundee FC,Hibernian FC,1-2,2-4
2019-20,Scottish Premiership,2019-08-10,12:00,Matchday 2,Motherwell FC,Celtic FC,1-2,2-5
2019-20,Scottish Premiership,2019-10-05,15:00,Matchday 8,Ross County FC,St. Johnstone FC,1-1,2-2
2019-20,Scottish Premiership,2019-10-26,15:00,Matchday 10,St. Johnstone FC,Hamilton Academical,1-1,3-2
2019-20,Scottish Premiership,2019-12-14,15:00,Matchday 18,St. Mirren FC,Livingston FC,1-2,3-3
2019-20,Scottish Premiership,2020-01-25,15:00,Matchday 23,Hamilton Academical,Livingston FC,1-2,2-4
2019-20,Scottish Premiership,2020-02-01,15:00,Matchday 24,St. Johnstone FC,Heart of Midlothian,1-2,3-3
2019-20,Scottish Premiership,2020-03-04,19:45,Matchday 29,Livingston FC,Celtic FC,1-1,2-2
2020-21,Scottish Premiership,2020-09-19,15:00,Matchday 8,Celtic FC,Livingston FC,2-1,3-2
2020-21,Scottish Premiership,2020-09-20,12:00,Matchday 8,Hibernian FC,Rangers FC,1-1,2-2
2020-21,Scottish Premiership,2020-10-17,15:00,Matchday 11,Hamilton Academical,St. Johnstone FC,2-3,3-5
2020-21,Scottish Premiership,2020-11-24,19:00,Matchday 13,Hibernian FC,St. Johnstone FC,1-1,2-2
2020-21,Scottish Premiership,2021-03-06,15:00,Matchday 31,Ross County FC,Kilmarnock FC,1-1,3-2
2024-25,Scottish Premiership,2024-08-24,15:00,Matchday 3,Hibernian FC,Dundee FC,1-1,2-2
2024-25,Scottish Premiership,2024-09-21,15:00,Matchday 15,Ross County FC,St. Johnstone FC,1-1,3-3
2024-25,Scottish Premiership,2024-10-06,15:00,Matchday 7,Aberdeen FC,Heart of Midlothian,1-1,3-2
2024-25,Scottish Premiership,2024-10-19,15:00,Matchday 8,Dundee United,Hibernian FC,1-1,3-2
2024-25,Scottish Premiership,2024-12-14,15:00,Matchday 17,Motherwell FC,Dundee United,3-1,4-3
2024-25,Scottish Premiership,2025-01-05,12:00,Matchday 22,Hibernian FC,Rangers FC,1-2,3-3
2024-25,Scottish Premiership,2025-01-14,20:00,Matchday 17,Dundee FC,Celtic FC,1-1,3-3
2024-25,Scottish Premiership,2025-03-01,17:30,Matchday 29,St. Mirren FC,Celtic FC,1-2,2-5
2024-25,Scottish Premiership,2025-03-16,15:00,Matchday 30,Dundee United,Dundee FC,1-3,2-4
2024-25,Scottish Premiership,2025-03-29,17:30,Matchday 31,Dundee FC,Rangers FC,2-1,3-4
2024-25,Scottish Premiership,2025-04-12,15:00,Matchday 33,St. Mirren FC,Ross County FC,1-1,3-2
2024-25,Scottish Premiership,2025-04-26,15:00,"Championship, Matchday 34",St. Mirren FC,Rangers FC,1-1,2-2
2024-25,Scottish Premiership,2025-04-26,15:00,"Relegation, Matchday 34",Motherwell FC,St. Johnstone FC,2-1,3-2
2024-25,Scottish Premiership,2025-05-17,12:30,"Championship, Matchday 38",Hibernian FC,Rangers FC,1-1,2-2
2025-26,Scottish Premiership,2025-08-30,14:00,4. Round,Motherwell FC,Kilmarnock FC,1-1,2-2
2025-26,Scottish Premiership,2025-09-13,16:45,5. Round,Hibernian FC,Dundee United,1-2,3-3
2025-26,Scottish Premiership,2025-10-05,14:00,7. Round,Celtic FC,Motherwell FC,1-1,3-2
2025-26,Scottish Premiership,2025-10-29,18:45,10. Round,St. Mirren FC,Heart of Midlothian,1-1,2-2
2025-26,Scottish Premiership,2025-11-01,14:00,15. Round,Livingston FC,Hibernian FC,1-1,2-2
