season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Turkish Süper Lig,2018-08-12,19:30,Matchday 1,Atiker Konyaspor,BB Erzurumspor,2-1,3-2
2018-19,Turkish Süper Lig,2018-08-18,21:45,Matchday 2,Antalyaspor,Atiker Konyaspor,1-2,3-3
2018-19,Turkish Süper Lig,2018-08-25,19:15,Matchday 3,MKE Ankaragücü,Trabzonspor,1-1,2-2
2018-19,Turkish Süper Lig,2018-09-16,17:00,Matchday 5,Sivasspor,BB Erzurumspor,1-1,2-2
2018-19,Turkish Süper Lig,2018-10-07,13:30,Matchday 8,Yeni Malatyaspor,Sivasspor,1-3,4-4
2018-19,Turkish Süper Lig,2019-02-10,16:00,Matchday 21,Göztepe,Alanyaspor,2-1,3-2
2018-19,Turkish Süper Lig,2019-02-17,13:30,Matchday 22,BB Erzurumspor,Sivasspor,2-1,4-2
2018-19,Turkish Süper Lig,2019-03-02,16:00,Matchday 24,Bursaspor,Sivasspor,1-1,3-2
2018-19,Turkish Süper Lig,2019-03-02,19:00,Matchday 24,Fenerbahçe,Çaykur Rizespor,2-1,3-2
2018-19,Turkish Süper Lig,2019-03-10,19:00,Matchday 25,Beşiktaş,Atiker Konyaspor,2-1,3-2
2018-19,Turkish Süper Lig,2019-03-16,16:00,Matchday 26,Akhisar Belediyespor,Kasımpaşa SK,1-1,2-3
2018-19,Turkish Süper Lig,2019-04-08,20:00,Matchday 27,Çaykur Rizespor,Beşiktaş,1-2,2-7
2018-19,Turkish Süper Lig,2019-05-06,20:30,Matchday 31,Alanyaspor,Atiker Konyaspor,1-2,2-4
2018-19,Turkish Süper Lig,2019-05-06,20:30,Matchday 31,Trabzonspor,Kayserispor,2-1,4-2
2018-19,Turkish Süper Lig,2019-05-11,16:00,Matchday 32,Çaykur Rizespor,Galatasaray,1-1,2-3
2018-19,Turkish Süper Lig,2019-05-11,19:00,Matchday 32,Göztepe,Sivasspor,1-2,3-3
2018-19,Turkish Süper Lig,2019-05-24,21:00,Matchday 34,Sivasspor,Galatasaray,2-2,4-3
2019-20,Turkish Süper Lig,2019-09-14,20:00,Matchday 4,Antalyaspor,Kayserispor,1-1,2-2
2019-20,Turkish Süper Lig,2019-09-15,20:00,Matchday 4,Trabzonspor,Gençlerbirliği,1-1,2-2
2019-20,Turkish Süper Lig,2019-11-08,20:30,Matchday 11,Fenerbahçe,Kasımpaşa SK,2-1,3-2
2019-20,Turkish Süper Lig,2019-11-30,20:00,Matchday 13,Göztepe,Fenerbahçe,1-1,2-2
2019-20,Turkish Süper Lig,2019-12-06,20:30,Matchday 14,Fenerbahçe,Gençlerbirliği,3-1,5-2
2019-20,Turkish Süper Lig,2019-12-08,19:00,Matchday 14,Kasımpaşa SK,Beşiktaş,1-1,2-3
2019-20,Turkish Süper Lig,2019-12-28,17:30,Matchday 17,Trabzonspor,Kayserispor,2-1,6-2
2019-20,Turkish Süper Lig,2020-02-09,13:30,Matchday 21,Kayserispor,Antalyaspor,1-1,2-2
2019-20,Turkish Süper Lig,2020-03-07,20:00,Matchday 25,Fenerbahçe,Denizlispor,1-1,2-2
2019-20,Turkish Süper Lig,2020-06-21,21:00,Matchday 28,Galatasaray,Gaziantep FK,2-1,3-3
2019-20,Turkish Süper Lig,2020-06-22,21:00,Matchday 28,Alanyaspor,Trabzonspor,1-1,2-2
2019-20,Turkish Süper Lig,2020-06-27,21:00,Matchday 29,Göztepe,Alanyaspor,1-2,3-3
2019-20,Turkish Süper Lig,2020-07-09,18:30,Matchday 31,Çaykur Rizespor,Kayserispor,1-1,3-2
2019-20,Turkish Süper Lig,2020-07-13,21:00,Matchday 32,Konyaspor,İstanbul Başakşehir,3-1,4-3
2019-20,Turkish Süper Lig,2020-07-19,21:00,Matchday 33,Trabzonspor,Konyaspor,1-1,3-4
2020-21,Turkish Süper Lig,2020-10-18,19:00,Matchday 5,Göztepe,Fenerbahçe,1-2,2-3
2020-21,Turkish Süper Lig,2020-11-22,13:30,Matchday 9,Hatayspor,Çaykur Rizespor,1-1,2-2
2020-21,Turkish Süper Lig,2020-11-29,19:00,Matchday 10,Fenerbahçe,Beşiktaş,1-2,3-4
2020-21,Turkish Süper Lig,2020-12-11,19:00,Matchday 12,Kasımpaşa SK,Denizlispor,2-1,3-2
2020-21,Turkish Süper Lig,2020-12-12,19:00,Matchday 12,MKE Ankaragücü,Konyaspor,1-2,4-3
2020-21,Turkish Süper Lig,2020-12-27,19:00,Matchday 15,İstanbul Başakşehir,Kasımpaşa SK,1-1,2-2
2020-21,Turkish Süper Lig,2020-12-28,16:00,Matchday 15,Gençlerbirliği,Kayserispor,1-1,3-2
2020-21,Turkish Süper Lig,2021-01-05,19:00,Matchday 17,Konyaspor,Galatasaray,1-1,4-3
2020-21,Turkish Süper Lig,2021-01-25,19:00,Matchday 21,Alanyaspor,MKE Ankaragücü,1-2,4-3
2020-21,Turkish Süper Lig,2021-02-04,16:00,Matchday 23,Göztepe,Yeni Malatyaspor,1-1,2-2
2020-21,Turkish Süper Lig,2021-02-20,13:30,Matchday 26,Kasımpaşa SK,Fatih Karagümrük,1-1,3-2
2020-21,Turkish Süper Lig,2021-03-03,13:30,Matchday 28,BB Erzurumspor,Fatih Karagümrük,1-1,2-2
2020-21,Turkish Süper Lig,2021-03-06,16:00,Matchday 29,Denizlispor,Yeni Malatyaspor,2-1,3-2
2020-21,Turkish Süper Lig,2021-03-19,19:00,Matchday 31,Galatasaray,Çaykur Rizespor,2-2,3-4
2020-21,Turkish Süper Lig,2021-03-20,16:00,Matchday 31,Yeni Malatyaspor,Gaziantep FK,1-1,2-2
2020-21,Turkish Süper Lig,2021-04-07,19:00,Matchday 33,Antalyaspor,Sivasspor,1-2,2-4
2020-21,Turkish Süper Lig,2021-04-16,19:00,Matchday 35,Antalyaspor,Çaykur Rizespor,1-2,2-3
