season,league,date,time,round,home,away,ht_score,ft_score
2011-12,UEFA Champions League,2011-09-13,20:45,Group H,FC Barcelona (ESP),AC Milan (ITA),1-1,2-2
2011-12,UEFA Champions League,2011-09-27,18:00,Group B,CSKA Moskva (RUS),Inter (ITA),1-2,2-3
2011-12,UEFA Champions League,2011-11-22,20:45,Group C,Manchester United (ENG),SL Benfica (POR),1-1,2-2
2011-12,UEFA Champions League,2011-11-23,20:45,Group H,AC Milan (ITA),FC Barcelona (ESP),1-2,2-3
2011-12,UEFA Champions League,2012-02-15,18:00,Round of 16,Zenit St. Petersburg (RUS),SL Benfica (POR),1-1,3-2
2012-13,UEFA Champions League,2012-09-19,20:45,Group G,FC Barcelona (ESP),Spartak Moskva (RUS),1-1,3-2
2012-13,UEFA Champions League,2012-10-02,18:00,Group G,Spartak Moskva (RUS),Celtic FC (SCO),1-1,2-3
2012-13,UEFA Champions League,2012-10-03,18:00,Group C,Zenit St. Petersburg (RUS),AC Milan (ITA),1-2,2-3
2012-13,UEFA Champions League,2012-10-03,20:45,Group B,FC Schalke 04 (GER),Montpellier HSC (FRA),1-1,2-2
2012-13,UEFA Champions League,2012-10-24,20:45,Group A,FC Porto (POR),Dinamo Kiev (UKR),2-1,3-2
2012-13,UEFA Champions League,2012-11-07,20:45,Group E,Chelsea FC (ENG),Shakhtar Donetsk (UKR),2-1,3-2
2012-13,UEFA Champions League,2013-02-13,20:45,Round of 16,Shakhtar Donetsk (UKR),Borussia Dortmund (GER),1-1,2-2
2012-13,UEFA Champions League,2013-03-12,20:45,Round of 16,FC Schalke 04 (GER),Galatasaray (TUR),1-2,2-3
2012-13,UEFA Champions League,2013-04-09,20:45,Quarterfinals,Borussia Dortmund (GER),Málaga CF (ESP),1-1,3-2
2013-14,UEFA Champions League,2013-10-02,18:00,Group D,CSKA Moskva (RUS),Viktoria Plzeň (CZE),2-1,3-2
2013-14,UEFA Champions League,2013-11-05,20:45,Group D,Manchester City (ENG),CSKA Moskva (RUS),3-1,5-2
2013-14,UEFA Champions League,2013-11-06,20:45,Group F,SSC Napoli (ITA),Olympique Marseille (FRA),2-1,3-2
2013-14,UEFA Champions League,2013-11-27,20:45,Group C,RSC Anderlecht (BEL),SL Benfica (POR),1-1,2-3
2013-14,UEFA Champions League,2013-11-27,20:45,Group D,Manchester City (ENG),Viktoria Plzeň (CZE),1-1,4-2
2014-15,UEFA Champions League,2014-09-16,20:45,Group A,Olympiakos Piraeus (GRE),Atlético Madrid (ESP),2-1,3-2
2014-15,UEFA Champions League,2014-09-30,20:45,Group F,Paris Saint-Germain (FRA),FC Barcelona (ESP),2-1,3-2
2014-15,UEFA Champions League,2014-10-21,20:45,Group G,FC Schalke 04 (GER),Sporting CP (POR),1-1,4-3
2014-15,UEFA Champions League,2014-11-04,20:45,Group A,Juventus (ITA),Olympiakos Piraeus (GRE),1-1,3-2
2014-15,UEFA Champions League,2014-11-05,20:45,Group G,Sporting CP (POR),FC Schalke 04 (GER),1-1,4-2
2014-15,UEFA Champions League,2015-03-10,20:45,Round of 16,Real Madrid (ESP),FC Schalke 04 (GER),2-2,3-4
2015-16,UEFA Champions League,2015-09-16,20:45,Group G,Dinamo Kiev (UKR),FC Porto (POR),1-1,2-2
2015-16,UEFA Champions League,2015-09-29,20:45,Group F,Arsenal FC (ENG),Olympiakos Piraeus (GRE),1-2,2-3
2015-16,UEFA Champions League,2015-10-20,20:45,Group E,Bayer Leverkusen (GER),AS Roma (ITA),2-2,4-4
2015-16,UEFA Champions League,2015-12-08,20:45,Group B,VfL Wolfsburg (GER),Manchester United (ENG),2-1,3-2
2015-16,UEFA Champions League,2016-04-06,20:45,Quarterfinals,Paris Saint-Germain (FRA),Manchester City (ENG),1-1,2-2
2015-16,UEFA Champions League,2016-04-13,20:45,Quarterfinals,SL Benfica (POR),Bayern München (GER),1-1,2-2
2016-17,UEFA Champions League,2016-09-27,20:45,Group F,Borussia Dortmund (GER),Real Madrid (ESP),1-1,2-2
2016-17,UEFA Champions League,2016-09-28,20:45,Group C,Celtic FC (SCO),Manchester City (ENG),2-2,3-3
2016-17,UEFA Champions League,2016-10-19,20:45,Group B,SSC Napoli (ITA),Beşiktaş (TUR),1-2,2-3
2016-17,UEFA Champions League,2016-11-02,20:45,Group F,Legia Warszawa (POL),Real Madrid (ESP),1-2,3-3
2016-17,UEFA Champions League,2016-11-22,20:45,Group F,Borussia Dortmund (GER),Legia Warszawa (POL),5-2,8-4
2016-17,UEFA Champions League,2016-11-23,18:00,Group D,FK Rostov (RUS),Bayern München (GER),1-1,3-2
2016-17,UEFA Champions League,2016-11-23,20:45,Group A,Arsenal FC (ENG),Paris Saint-Germain (FRA),1-1,2-2
2016-17,UEFA Champions League,2017-02-21,20:45,Round of 16,Manchester City (ENG),AS Monaco (FRA),1-2,5-3
2017-18,UEFA Champions League,2017-10-18,20:45,Group C,Chelsea FC (ENG),AS Roma (ITA),2-1,3-3
2017-18,UEFA Champions League,2017-11-01,20:45,Group F,SSC Napoli (ITA),Manchester City (ENG),1-1,2-4
2017-18,UEFA Champions League,2017-12-06,20:45,Group H,Real Madrid (ESP),Borussia Dortmund (GER),2-1,3-2
2017-18,UEFA Champions League,2018-05-01,20:45,Semifinals,Real Madrid (ESP),Bayern München (GER),1-1,2-2
2018-19,UEFA Champions League,2018-09-18,21:00,Group C,Liverpool FC (ENG),Paris Saint-Germain (FRA),2-1,3-2
2018-19,UEFA Champions League,2018-10-23,21:00,Group F,1899 Hoffenheim (GER),Olympique Lyonnais (FRA),1-1,3-3
2018-19,UEFA Champions League,2018-10-24,18:55,Group B,PSV Eindhoven (NED),Tottenham Hotspur (ENG),1-1,2-2
2018-19,UEFA Champions League,2018-12-11,18:55,Group D,Galatasaray (TUR),FC Porto (POR),1-2,2-3
2018-19,UEFA Champions League,2019-04-17,21:00,Quarterfinals,Manchester City (ENG),Tottenham Hotspur (ENG),3-2,4-3
2019-20,UEFA Champions League,2019-09-17,21:00,Group E,RB Salzburg (AUT),KRC Genk (BEL),5-1,6-2
2019-20,UEFA Champions League,2019-10-01,21:00,Group B,Tottenham Hotspur (ENG),Bayern München (GER),1-2,2-7
2019-20,UEFA Champions League,2019-10-02,21:00,Group E,Liverpool FC (ENG),RB Salzburg (AUT),3-1,4-3
2019-20,UEFA Champions League,2019-10-22,18:55,Group C,Shakhtar Donetsk (UKR),Dinamo Zagreb (CRO),1-1,2-2
2019-20,UEFA Champions League,2019-10-22,21:00,Group B,Olympiakos Piraeus (GRE),Bayern München (GER),1-1,2-3
2019-20,UEFA Champions League,2019-10-23,21:00,Group E,RB Salzburg (AUT),SSC Napoli (ITA),1-1,2-3
2019-20,UEFA Champions League,2019-11-05,21:00,Group H,Chelsea FC (ENG),AFC Ajax (NED),1-3,4-4
2019-20,UEFA Champions League,2019-11-06,21:00,Group C,Dinamo Zagreb (CRO),Shakhtar Donetsk (UKR),1-1,3-3
2019-20,UEFA Champions League,2019-11-27,18:55,Group H,Valencia CF (ESP),Chelsea FC (ENG),1-1,2-2
2019-20,UEFA Champions League,2020-03-10,21:00,Round of 16,Valencia CF (ESP),Atalanta (ITA),1-2,3-4
2019-20,UEFA Champions League,2020-08-14,21:00,Quarterfinals,FC Barcelona (ESP),Bayern München (GER),1-4,2-8
2024-25,UEFA Champions League,2024-10-02,18:45,"League, Matchday 2",Girona FC (ESP),Feyenoord Rotterdam (NED),1-2,2-3
2024-25,UEFA Champions League,2024-11-06,21:00,"League, Matchday 4",FK Crvena Zvezda (SRB),FC Barcelona (ESP),1-2,2-5
2024-25,UEFA Champions League,2024-11-26,18:45,"League, Matchday 5",ŠK Slovan Bratislava (SVK),AC Milan (ITA),1-1,2-3
2024-25,UEFA Champions League,2024-12-10,21:00,"League, Matchday 6",RB Leipzig (GER),Aston Villa FC (ENG),1-1,2-3
2024-25,UEFA Champions League,2024-12-10,21:00,"League, Matchday 6",Atalanta BC (ITA),Real Madrid CF (ESP),1-1,2-3
2024-25,UEFA Champions League,2024-12-11,18:45,"League, Matchday 6",Lille OSC (FRA),SK Sturm Graz (AUT),2-1,3-2
2024-25,UEFA Champions League,2024-12-11,21:00,"League, Matchday 6",Feyenoord Rotterdam (NED),AC Sparta Praha (CZE),3-1,4-2
2024-25,UEFA Champions League,2025-01-21,21:00,"League, Matchday 7",Sport Lisboa e Benfica (POR),FC Barcelona (ESP),3-1,4-5
2024-25,UEFA Champions League,2025-02-18,21:00,"Playoffs, Matchday 2",Sport Lisboa e Benfica (POR),AS Monaco FC (MCO),1-1,3-3
2024-25,UEFA Champions League,2025-04-30,21:00,"Finals, Semifinals",FC Barcelona (ESP),FC Internazionale Milano (ITA),2-2,3-3
